Reporting Entity,Facility Name,Type,Electricity Production (GJ),Greenhouse Gas Emissions Scope 1 (t CO2-e),Greenhouse Gas Emissions Scope 2 (t CO2-e),Total Emissions  (t CO2-e),Important Notes
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,"595,404",30,297,327,N/A
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,"2,405,976",94,"1,095","1,189",N/A
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,"3,001,380",124,"1,392","1,516",N/A
AGL ENERGY LIMITED,AGL Loy Yang Power Station and Mine,F,"58,566,999","18,868,250","259,065","19,127,315",N/A
AGL ENERGY LIMITED,Banimboola Hydro,F,"41,286",3,69,72,N/A
AGL ENERGY LIMITED,Bogong Power Station,F,"288,687",0,911,911,N/A
AGL ENERGY LIMITED,Burrendong Hydro,F,"157,841",0,34,34,N/A
AGL ENERGY LIMITED,Clover Hydro,F,"172,562",0,"1,966","1,966",N/A
AGL ENERGY LIMITED,Coopers Cogeneration,F,"95,612","20,101",100,"20,201",N/A
AGL ENERGY LIMITED,Copeton Hydro,F,"145,654",0,54,54,N/A
AGL ENERGY LIMITED,Dartmouth Hydro,F,"642,976",0,"2,275","2,275",N/A
AGL ENERGY LIMITED,Eildon Hydro,F,"960,854",19,220,239,N/A
AGL ENERGY LIMITED,Glenbawn Hydro,F,"7,775",0,16,16,N/A
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,"42,224",719,2,721,N/A
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,"1,194,036",83,234,317,N/A
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,"922,419",46,179,225,N/A
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,"1,532,308",112,349,461,N/A
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,"540,866",53,198,251,N/A
AGL ENERGY LIMITED,Hobart Landfill Generation,F,"22,906",366,2,368,N/A
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,"18,930",302,4,306,N/A
AGL ENERGY LIMITED,Macarthur Wind Farm,F,"2,079,451","1,866","2,122","3,988",N/A
AGL ENERGY LIMITED,McKay Creek Hydro,F,"362,732",1,"5,496","5,497",N/A
AGL ENERGY LIMITED,Moranbah Power Station,F,"243,702","38,433",27,"38,460",N/A
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,"539,084",74,622,696,N/A
AGL ENERGY LIMITED,Pindari Hydro,F,"13,784",0,15,15,N/A
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,"55,884",923,23,946,N/A
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,"139,381",1,39,40,N/A
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,"21,181",325,3,328,N/A
AGL ENERGY LIMITED,Somerton Power Station,F,"58,353","11,808","2,185","13,993",N/A
AGL ENERGY LIMITED,Suncoast Biomass Generation Plant,F,"5,479",94,61,155,N/A
AGL ENERGY LIMITED,Symex Cogeneration,F,"62,202","12,430",4,"12,434",N/A
AGL ENERGY LIMITED,Torrens Island Power Station,F,"7,673,742","1,222,153","15,909","1,238,062",N/A
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,"860,778",66,221,287,N/A
AGL ENERGY LIMITED,Werribee Biogas Generator,F,"182,194","2,637","1,372","4,009",N/A
AGL ENERGY LIMITED,West Kiewa Hydro,F,"414,005",0,"1,751","1,751",N/A
AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,"3,052",582,0,582,N/A
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,"29,103",453,3,456,N/A
AGL ENERGY LIMITED,Yarrawonga Hydro,F,"137,578",0,63,63,N/A
AGL ENERGY LIMITED,Corporate Total,C,"78,235,620","20,181,900","295,594","20,477,494",N/A
