Reporting Entity,Facility Name,Type,State,Electricity Production (GJ),Electricity Production (MWh),"Total Scope 1 Emissions 
(t CO2-e)","Total Scope 2 Emissions 
(t CO2-e)","Total Emissions 
(t CO2-e)","Emission Intensity 
(t CO2-e/ MWh)",Grid Connected,Grid,Primary Fuel,Important Notes
ACCIONA ENERGY OCEANIA PTY. LTD.,Cathedral Rocks Wind Farm,F,SA,"550,950","153,042",48,136,184,0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY. LTD.,Gunning Wind Farm,F,NSW,"601,740","167,150",44,205,249,0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY. LTD.,Mt Gellibrand Wind Farm,F,VIC,"4,320","1,200",0,22,22,0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY. LTD.,Waubra Wind Farm,F,VIC,"2,317,673","643,798",132,966,"1,098",0.00,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY. LTD.,Corporate Total,C,-,"3,474,683","965,190",224,"1,329","1,553",-,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,"11,089","3,080",4,59,63,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,"55,964,880","15,545,800","13,705,014","20,951","13,725,965",0.88,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,"290,885","80,801",82,852,934,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,"470,545","130,707",78,345,423,0.00,On,NEM,Solar,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,"130,417","36,227",1,36,37,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,"195,811","54,392",2,268,270,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,"84,730","23,536","17,445",64,"17,509",0.74,On,NEM,Gas,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,"148,524","41,257",1,43,44,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,"201,611","56,003",1,636,637,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,"668,859","185,794",13,667,680,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,"70,572","19,603",0,11,11,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,"32,986","9,163",517,1,518,0.06,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,"1,126,198","312,833",96,191,287,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,"901,465","250,407",71,158,229,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,"1,708,149","474,486",152,377,529,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,"582,085","161,690",62,224,286,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,"22,430","6,231",358,1,359,0.06,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,"3,073",854,"1,037",932,"1,969",1.21,On,NEM,Gas,-
AGL ENERGY LIMITED,Kemps Creek Landfill Generation,F,NSW,"47,007","13,058",633,18,651,0.05,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,"7,588","2,108",142,19,161,0.07,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,"30,667,257","8,518,683","7,799,843","40,396","7,840,239",0.92,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,"61,026,883","16,951,912","19,861,938","245,177","20,107,115",1.17,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,"3,770,990","1,047,497",434,"2,823","3,257",0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,"357,923","99,423",6,"4,693","4,699",0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,"197,704","54,918","33,547",28,"33,575",0.61,On,NEM,Coal Seam Methane,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,"902,651","250,736",150,763,913,0.00,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,"677,832","188,287",79,615,694,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,"12,970","3,603",0,22,22,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,"84,406","23,446","1,472",8,"1,480",0.06,On,SWIS,Landfill Gas,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,"150,908","41,919",1,38,39,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,"6,308","1,752",80,5,85,0.05,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,"307,506","85,418","61,440","1,851","63,291",0.72,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,"10,072,272","2,797,853","1,566,914","14,293","1,581,207",0.56,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,"977,706","271,585",47,172,219,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Werribee Biogas Generator,F,VIC,"231,340","64,261","3,088","1,157","4,245",0.05,On,NEM,Biogas,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,"553,193","153,665",0,"1,272","1,272",0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,SA,"3,146",874,686,0,686,0.78,Off,Off-grid,Solar,-
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,NSW,"27,416","7,616",464,10,474,0.06,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,"134,344","37,318",1,39,40,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Corporate Total,C,-,"172,831,659","48,008,794","43,055,899","339,215","43,395,114",-,-,-,-,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,"7,760,182","2,155,606","1,410,220",333,"1,410,553",0.65,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,-,"7,760,182","2,155,606","1,410,220",333,"1,410,553",-,-,-,-,-
APT PIPELINES LIMITED,Daandine Power Station,F,QLD,"787,397","218,721","109,265",0,"109,265",0.50,On,NEM,Coal Seam Methane,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
APT PIPELINES LIMITED and CLARKE ENERGY (AUSTRALIA) PTY. LTD., have each included the same data for the Daandine Power Station in their NGER reports."
APT PIPELINES LIMITED,Diamantina Power Station,F,QLD,"5,765,248","1,601,458","656,824",114,"656,938",0.41,On,Mt Isa,Gas,-
APT PIPELINES LIMITED,Emu Downs Solar Farm,F,WA,"97,410","27,058",0,33,33,0.00,On,SWIS,Solar,-
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,"864,702","240,195",63,333,396,0.00,On,SWIS,Wind,-
APT PIPELINES LIMITED,Corporate Total,C,-,"7,514,757","2,087,432","766,152",480,"766,632",-,-,-,-,-
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,"925,917","257,199","154,004","4,349","158,353",0.60,On,NEM,Coal Seam Methane,-
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,-,"925,917","257,199","154,004","4,349","158,353",-,-,-,-,-
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,"284,128","78,924","63,575",146,"63,721",0.81,On,NWIS,Gas,-
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,"4,750,641","1,319,623","542,289",367,"542,656",0.41,On,NEM,Gas,-
ATCO AUSTRALIA PTY LTD,Corporate Total,C,-,"5,034,769","1,398,547","605,864",513,"606,377",-,-,-,-,-
AWF AUS HOLD OP CO PTY LTD,Facility,F,VIC,"2,257,531","627,092",17,"1,690","1,707",0.00,On ,NEM,Wind,-
AWF AUS HOLD OP CO PTY LTD,Corporate Total,C,-,"2,257,531","627,092",17,"1,690","1,707",-,-,-,-,-
AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,NSW,"259,179","71,994","35,045",64,"35,109",0.49,On,NEM,Gas,-
AXIA ENERGY AUSTRALIA PTY LTD,Corporate Total,C,-,"259,179","71,994","35,045",64,"35,109",-,-,-,-,-
BALD HILLS WF HOLDINGS PTY LTD,Bald Hills Wind Farm Pty Ltd,F,VIC,"1,306,751","362,986",105,822,927,0.00,On,NEM,Wind,-
BALD HILLS WF HOLDINGS PTY LTD,Corporate Total,C,-,"1,306,751","362,986",105,822,927,-,-,-,-,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,"1,825,008","506,947",52,179,231,0.00,On,NEM,Wind,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Corporate Total,C,-,"1,825,008","506,947",52,179,231,-,-,-,-,-
BHP BILLITON IRON ORE PTY. LTD.,Yarnima Power Station,F,WA,"2,613,641","726,011","309,875",0,"309,875",0.43,Off,Off-grid,Gas,-
BHP BILLITON IRON ORE PTY. LTD.,Corporate Total,C,-,"2,613,641","726,011","309,875",0,"309,875",-,-,-,-,-
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,"5,796,946","1,610,263","1,440,940","3,278","1,444,218",0.89,On,SWIS,Black Coal,-
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,-,"5,796,946","1,610,263","1,440,940","3,278","1,444,218",-,-,-,-,-
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,"6,232,601","1,731,278","1,521,195","1,138","1,522,333",0.88,On,SWIS,Black Coal,-
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,-,"6,232,601","1,731,278","1,521,195","1,138","1,522,333",-,-,-,-,-
BPIH PTY LIMITED,Enwave Central Park Pty Ltd,F,NSW,"7,740","2,150","2,857",0,"2,857",1.33,On,NEM,Gas,-
BPIH PTY LIMITED,Enwave Mascot Pty Ltd,F,NSW,"104,473","29,020","15,273","1,870","17,143",0.53,On,NEM,Gas,-
BPIH PTY LIMITED,Corporate Total,C,-,"112,213","31,170","18,130","1,870","20,000",-,-,-,-,-
