Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Generation Data Source,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1019149,GDK Mellach,Natural Gas,,OCGT,,838,1986,Verbund,,,727.746,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/en/thermal-power-plant/mellach-district-heating-plant,,,,,,,,,,,,Austria,,
1019150,Dürnrohr,Coal,Natural Gas,Sub-critical Thermal,,392,1987,Verbund,,,799.969,,ENTSOE,,,,,,,,,To be mothballed in 2017,Verbund,file:///C:/Users/aaron.kressig/Downloads/TAUSCHITZ%20study%20on%20combined%20cycle%20Graz.pdf,,,,,,,,,,,,Austria,,
1005157,Bodensdorf-Paal,Hydro,,Dam with Reservoir,,27,1982,Verbund,,,86,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005184,Häusling,Hydro,,Pumped Storage,,360,1988,Verbund,,,175,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005229,Reißeck years Memory,Hydro,,Dam with Reservoir,,68,1962,Verbund,,,55,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005230,Reißeck days storage,Hydro,,Dam with Reservoir,,23,1953,Verbund,,,62,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005234,Roßhag,Hydro,,Pumped Storage,,231,1972,Verbund,,,313,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005241,Sölk,Hydro,,Dam with Reservoir,,61,1978,Verbund,,,206,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1023524,Wind Park Hollern,Wind,,Onshore Wind,,18,2004,Verbund,,,19,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1019152,Kopswerk,Hydro,,Pumped Storage,,245,1969,Vorarlberge Illwerke AG,,,,,,,,,,,,,,,Vorarlberger Illwerke AG,https://www.illwerke.at/kopswerk-i.htm,,,,,,,,,,,,Austria,,
1019154,Latschauwerk,Hydro,,Pumped Storage,,9,1950,Vorarlberge Illwerke AG,,,,,,,,,,,,,,,Vorarlberger Illwerke AG,https://www.illwerke.at/latschauwerk.htm,,,,,,,,,,,,Austria,,
1019157,Rifawerk,Hydro,,Pumped Storage,,7,1969,Vorarlberge Illwerke AG,,,,,,,,,,,,,,,Vorarlberger Illwerke AG,https://www.illwerke.at/rifawerk.htm,,,,,,,,,,,,Austria,,
1019144,Purkersdorf,Biomass,,Sub-critical Thermal,,4,2004,Wien Energie,,,5,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/channelId/-51554,,,,,,,,,,,,Austria,,
1019145,Simmering,Biomass,,Sub-critical Thermal,,66,,Wien Energie,,,470,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51543,,,,,,,,,,,,Austria,,
1019137,Töging,Hydro,,Dam with Reservoir,,85.2,1924,Wien Energie,,,557.2,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51551,,,,,,,,,,,,Austria,,
1019139,Glizendorf,Wind,,Onshore Wind,,18.5,2012,Wien Energie,,,44,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51542,,,,,,,,,,,,Austria,,
1019140,Levél ,Wind,,Onshore Wind,,24,2008,Wien Energie,,,53,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51543,,,,,,,,,,,,Austria,,
1019141,Pottendorf,Wind,,Onshore Wind,,43,2015,Wien Energie,,,94.4,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51544,,,,,,,,,,,,Austria,,
1019142,Stiengriel,Wind,,Onshore Wind,,24,2005,Wien Energie,,,34,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51545,,,,,,,,,,,,Austria,,
1019143,Unterlaa Ost und West ,Wind,,Onshore Wind,,4,2005,Wien Energie,,,7,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51546,,,,,,,,,,,,Austria,,
1005170,Funsingau,Hydro,,Dam with Reservoir,,25,1968,Verbund,,,27,,ENTSOE,,,,,,,47.2354,12.05826,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005174,Gerlos,Hydro,,Dam with Reservoir,,200,1949,Verbund,,,320,,ENTSOE,,,,,,,47.23417,11.89972,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005190,Kaprun main stage,Hydro,,Dam with Reservoir,,240,1953,Verbund,,,502,,ENTSOE,,,,,,,47.2591,12.7389,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005191,Kaprun Limberg II,Hydro,,Pumped Storage,,480,2011,Verbund,,,0,,ENTSOE,,,,,,,47.1985,12.7223,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005192,Kaprun Oberstufe,Hydro,,Pumped Storage,,113,1956,Verbund,,,150,,ENTSOE,,,,,,,47.1968,12.71922,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005198,Kreuzeck days storage,Hydro,,Dam with Reservoir,,45,1960,Verbund,,,163,,ENTSOE,,,,,,,46.8727,13.3117,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005206,Malta main stage,Hydro,,Pumped Storage,,730,1979,Verbund,,,618,,ENTSOE,,,,,,,47.0659,13.3539,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005207,Malta Secondary school,Hydro,,Pumped Storage,,120,1979,Verbund,,,37,,ENTSOE,,,,,,,47.0659,13.3539,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005210,Mayrhofen,Hydro,,Dam with Reservoir,,355,1977,Verbund,,,695,,ENTSOE,,,,,,,47.158065,11.850133,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005240,Schwarzach,Hydro,,Dam with Reservoir,,120,1960,Verbund,,,482,,ENTSOE,,,,,,,47.3152,13.1389,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005268,Wind Park Bruck an der Leitha,Wind,,Onshore Wind,,9,2000,Verbund,,,15,,ENTSOE,,,,,,,48.0338,16.7264,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005269,Windpark Bruck-Göttlesbrunn,Wind,,Onshore Wind,,21,2015,Verbund,,,0,,ENTSOE,,,,,,,48.095,16.89,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005270,Wind Park Hollern II,Wind,,Onshore Wind,,15,2014,Verbund,,,37,,ENTSOE,,,,,,,48.09,16.844,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005270,Wind Park Petronell-Carnuntum,Wind,,Onshore Wind,,22,2004,Verbund,,,47,,ENTSOE,,,,,,,48.09,16.844,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005271,Wind Park Petronell-Carnuntum II,Wind,,Onshore Wind,,21,,Verbund,,,53,,ENTSOE,,,,,,,48.09,16.844,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005153,Arnstein,Hydro,,Dam with Reservoir,,30,1925,Verbund,,,50,,ENTSOE,,,,,,,47.0166667,15.1666667,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,CARMA
1005185,Hieflau,Hydro,,Dam with Reservoir,,63,1956-2009,Verbund,,,388,,ENTSOE,,,,,,,47.6,14.7333333,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,CARMA
1005245,St. Martin,Hydro,,Dam with Reservoir,,10,1965,Verbund,,,16,,ENTSOE,,,,,,,47.44666502,15.28490067,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,CARMA
1019161,Walgauwerk,Hydro,,Pumped Storage,,86,1984,Vorarlberge Illwerke AG,,,,,,,,,,,,47.19199086,9.681497812,,Vorarlberger Illwerke AG,https://www.illwerke.at/walgauwerk.htm,,,,,,,,,,,,Austria,,CARMA
1019151,Werndorf,Oil,,Sub-critical Thermal,,246,,Austrian Thermal power,,,0,2015,ENTSOE,,,,,,,,,,Energie AG,http://www.energieag.at/eag_at/resources/595372694787137362_954827377953737077_8fJ7tSkK.pdf,ENTSOE (for capacity and generation),,,,,,,,,,,Austria,,
1019148,Mellach,Natural Gas,,CCGT,,838,2011,Verbund,,,727.75,2015,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/en/thermal-power-plant/mellach-ccgt,ENTSOE (for capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Austria,,
1019163,Timelkam,Natural Gas,,CCGT,,400,2008,Energie AG Oberösterreich,,,452,2015,ENTSOE,,,,,,0.587,48.0122,13.5895,,Energie AG,http://www.energieag.at/eag_at/resources/595372694787137362_954827377953737077_8fJ7tSkK.pdf,ENTSOE (for capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Austria,,GEODB
1005914,KW Silz,Hydro,,Dam with Reservoir,,500,1981,TIWAG-Tiroler Wasserkraft AG,Operational,Silz,128.53,2016,,,,,,,,47.2696,10.9678,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,,,,Austria,,Open Power System Data
1005908,KW Kaunertal,Hydro,,Dam with Reservoir,,392,1964,TIWAG-Tiroler Wasserkraft AG,Operational,Prutz,,2016,,,,,,,,47.0678,10.6652,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,,,,Austria,,Open Power System Data
1005907,KW Jenbach,Hydro,,Dam with Reservoir,,79,1926,TIWAG-Tiroler Wasserkraft AG,Operational,Jenbach,,2016,,,,,,,,47.3932,11.7886,,Open Power System Data,http://data.open-power-system-data.org/,,,,,,,,,,,,Austria,,Open Power System Data
1019159,Rodundwerk II,Hydro,,Pumped Storage,,295,1976,Vorarlberge Illwerke AG,,,,,,,,,,,,47.0847,9.8744,Rennovated in 2011,Vorarlberger Illwerke AG,https://www.illwerke.at/rodundwerk-ii.htm,,,,,,,,,,,,Austria,,WRI
1019128,Freudenau Danube,Hydro,,Dam with Reservoir,,172,1998,Wien Energie,,,"1,050",,ENTSOE,,,,,,,48.176391,16.481091,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/channelId/-51618,,,,,,,,,,,,Austria,,WRI
1019153,Kopswerk II,Hydro,,Pumped Storage,,525,2008,Vorarlberge Illwerke AG,,,,,,,,,,,,46.975,10.043,,Vorarlberger Illwerke AG,https://www.illwerke.at/kopswerk-2.htm,,,,,,,,,,,,Austria,,WRI
1019155,Lünerseewerk,Hydro,,Pumped Storage,,280,1958,Vorarlberge Illwerke AG,,,,,,,,,,,,47.074,9.874,,Vorarlberger Illwerke AG,https://www.illwerke.at/lunerseewerk.htm,,,,,,,,,,,,Austria,,WRI
1019158,Rodundwerk I,Hydro,,Pumped Storage,,198,1943-1952,Vorarlberge Illwerke AG,,,,,,,,,,,,47.085,9.8813,,Vorarlberger Illwerke AG,https://www.illwerke.at/rodundwerk-i.htm,,,,,,,,,,,,Austria,,WRI
1019160,Vermuntwerk,Hydro,,Pumped Storage,,157,1930-1939,Vorarlberge Illwerke AG,Operational,Partenen,,2016,,,,,,,,46.96845,10.05986,,Vorarlberger Illwerke AG,https://www.illwerke.at/vermuntwerk.htm,,,,,,,,,,,,Austria,,WRI
1019146,Donaustadt,Natural Gas,,CCGT,,395,2001,Wien Energie,,,"1,073.51",2015,ENTSOE,,,,,,0.58,48.20,16.4633,To be mothballed in 2017,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/channelId/-51721,ENTSOE (for capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Austria,,WRI
1019147,Simmering,Natural Gas,,CCGT,,1272,2009,Wien Energie,,,"2,429.57",2015,ENTSOE,,,,,,,48.1815,16.4334,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/channelId/-51719,ENTSOE (for capacity and generation),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Austria,,WRI
1005151,Altenwörth,Hydro,,Run of River,,328,1976,Verbund,,,"1,968",,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005152,Annabrücke,Hydro,,Run of River,,90,1981,Verbund,,,390,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005156,Bodensdorf-Mur,Hydro,,Run of River,,7,1982,Verbund,,,34,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005172,Garsten-St. Ulrich,Hydro,,Run of River,,38,1967,Verbund,,,163,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005173,Gemeinschaftskraftwerk Inn,Hydro,,Run of River,,89,,Verbund,,,414,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005175,Gössendorf,Hydro,,Run of River,,19,2012,Verbund,,,89,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005176,Gralla,Hydro,,Run of River,,15,1964-2012,Verbund,,,72,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005178,Graz Puntigam,Hydro,,Run of River,,16,,Verbund,,,74,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
1005180,Gries,Hydro,,Run of River,,9,,Verbund,,,42,,ENTSOE,,,,,,,,,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,
