Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1000453,Xiluodu,Hydro,,Dam with Reservoir,,12600,2013,,Operational,Jinsha River,57120,,,,,,,,28.26,103.65,,Chinese National Committee on Large Dams,http://www.chincold.org.cn/dams/rootfiles/2010/07/20/1279253974175246-1279253974178251.pdf,,,,,,,,,,,,China,,
1000463,Ertan,Hydro,,,,3300,2000,"Ertan Hydropower Development Company, Ltd.",Operational,Yalong Jiang,,,,,,,,,26.82,101.78,,Chinese National Committee on Large Dams,http://www.chincold.org.cn/dams/rootfiles/2010/07/20/1279253974018874-1279253974020121.pdf,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v7,,,,,,,,,,China,,
1000467,Jinanqiao,Hydro,,Dam with Reservoir,,2800,2010,,Operational,Jinsha River,,,,,,,,,26.81,100.45,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,,,,,,,,,,,,China,,
1000468,Guangzhou Pump Storage,Hydro,,Pumped Storage,,2400,1993,,Operational,Chenledong,,,,,,,,,23.765656,113.953648,,Chinese National Committee on Large Dams,http://www.chincold.org.cn/dams/rootfiles/2010/07/20/1279253974055450-1279253974057795.pdf,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v77,,,,,,,,,,China,,Industry About
1000470,Guandi,Hydro,,Dam with Reservoir,,2400,2013,,Operational,Yalong Jiang,,,,,,,,,27.82,101.88,,Ertan Hydropower Development Company,https://web.archive.org/web/20101206021333/http://www.ehdc.com.cn/newsite/en/gd.aspx,,,,,,,,,,,,China,,
1000471,Ludila,Hydro,,Dam with Reservoir,,2160,2014,,Operational,Jinsha River,9957,,,,,,,,26.2,100.82,,Baike,http://baike.baidu.com/view/1237237.htm,,,,,,,,,,,,China,,
1000472,Gongzui,Hydro,,,,2100,1979,,Operational,Dadu He,,,,,,,,,29.31,103.48,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v4,,,,,,,,,,China,,
1000473,Longkaikou,Hydro,,Dam with Reservoir,,1900,2013,,Operational,Jinsha River,7820,,,,,,,,26.53,100.42,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,Baike Baidu,http://baike.baidu.com/view/1237229.htm,,,,,,,,,,China,,
1000474,Tianhuangping,Hydro,,Pumped Storage,,1800,2004,,Operational,,,,,,,,,,30.47,119.61,,Chinese National Committee on Large Dams,http://www.chincold.org.cn/dams/rootfiles/2010/07/20/1279253974149477-1279253974151981.pdf,,,,,,,,,,,,China,,
1000475,Xiaolangdi,Hydro,,Dam with Reservoir,,1800,2000,Yellow River Water and Hydroelectric Power Development Corporation,Operational,Yellow River,,,,,,,,,34.92,112.36,,Chinese National Committee on Large Dams,http://www.chincold.org.cn/dams/rootfiles/2010/07/20/1279253974161046-1279253974165139.pdf,,,,,,,,,,,,China,,
1000476,Pengshui,Hydro,,Dam with Reservoir,,1750,2008,,Operational,Wu River,,,,,,,,,29.2,108.2,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,ChiangJiang Institute,http://www.cjwsjy.com.cn/index_en.asp?id=36,,,,,,,,,,China,,
1000477,Manwan,Hydro,,Dam with Reservoir,,1605,1995,,Operational,Mekong River,,,,,,,,,24.62,100.45,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,,,,,,,,,,,,China,,
1000478,Shuibuya,Hydro,,Dam with Reservoir,,1600,2008,Hubei Qingjiang Hydroelectric Development Company Ltd.,Operational,Minjiang,3985,,,,,,,,30.44,110.34,,Chinese National Committee on Large Dams,http://www.chincold.org.cn/dams/rootfiles/2010/07/20/1279253974131063-1279253974133586.pdf,,,,,,,,,,,,China,,
1000479,Gongboxia,Hydro,,Dam with Reservoir,,1500,2000,,Operational,Huang He,5140,,,,,,,,35.88,102.23,,Chinese National Committee on Large Dams,https://web.archive.org/web/20140716213447/http://www.chincold.org.cn/zt/learning/gongboxiaee.doc,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v3,,,,,,,,,,China,,
1000480,Jing Hong,Hydro,,Dam with Reservoir,,1500,,,Operational,Mekong River,,,,,,,,,22.05,100.77,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,China Daily,http://www.chinadaily.com.cn/china/2008-06/19/content_6779088.htm,,,,,,,,,,China,,
1000481,Baishan,Hydro,,Dam with Reservoir and Pumped Storage,,1500,1992-2006,,Operational,Songhua River,2003,,,,,,,,42.73,127.22,,Water Pub,http://www.waterpub.com.cn/JHDB/DetailDam.asp?ID=12,,,,,,,,,,,,China,,
1000482,Shuikou,Hydro,,,,1400,1995,,Operational,Min Jiang,4950,,,,,,,,26.31,118.81,,Chinese National Committee on Large Dams,http://www.chincold.org.cn/dams/rootfiles/2010/07/20/1279253974137620-1279253974139513.pdf,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v57,,,,,,,,,,China,,
1000483,Da Chao Shan,Hydro,,Dam with Reservoir,,1350,,,Operational,Mekong River,5931,,,,,,,,24.025643,100.369753,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,,,,,,,,,,,,China,,Industry About
1000486,Liujiaxia,Hydro,,Dam with Reservoir,,1225,1968,,Operational,Huang He,,,,,,,,,35.93,103.34,,Baike,http://baike.baidu.com/view/159096.htm,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v2,,,,,,,,,,China,,
