Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1061457,Vuda,Diesel,,Internal Combustion Engine,,20,1999,Fiji Electricity Authority,,,,,,,,,,,-17.680553,177.4304,,Fiji Electricity Authority,http://www.energyandinfrastructure.com/sections/profiles1/408-fiji-electricity-authority,Pernix Group,http://www.pernixgroup.com/project/kinoya-vuda-power-plants-2/,,,,,,,,,,Fiji,,WRI
1061458,Kinoya,Diesel,,Internal Combustion Engine,,48,2015,Fiji Electricity Authority,,,,,,,,,,,-18.112732,178.479894,,Fiji Electricity Authority,http://www.energyandinfrastructure.com/sections/profiles1/408-fiji-electricity-authority,Pernix Group,http://www.pernixgroup.com/project/kinoya-power-plant-expansion/,,,,,,,,,,Fiji,,WRI
1061459,Viti Levu Thermal 1,,,,,,,Fiji Electricity Authority,,,,,,,,,,,,,,Fiji Electricity Authority,http://www.energyandinfrastructure.com/sections/profiles1/408-fiji-electricity-authority,,,,,,,,,,,,Fiji,,
1061460,Viti Levu Thermal 2,,,,,,,Fiji Electricity Authority,,,,,,,,,,,,,,Fiji Electricity Authority,http://www.energyandinfrastructure.com/sections/profiles1/408-fiji-electricity-authority,,,,,,,,,,,,Fiji,,
1061461,Viti Levu Thermal 3,,,,,,,Fiji Electricity Authority,,,,,,,,,,,,,,Fiji Electricity Authority,http://www.energyandinfrastructure.com/sections/profiles1/408-fiji-electricity-authority,,,,,,,,,,,,Fiji,,
1061462,Viti Levu Thermal 4,,,,,,,Fiji Electricity Authority,,,,,,,,,,,,,,Fiji Electricity Authority,http://www.energyandinfrastructure.com/sections/profiles1/408-fiji-electricity-authority,,,,,,,,,,,,Fiji,,
1061463,Viti Levu Thermal 5,,,,,,,Fiji Electricity Authority,,,,,,,,,,,,,,Fiji Electricity Authority,http://www.energyandinfrastructure.com/sections/profiles1/408-fiji-electricity-authority,,,,,,,,,,,,Fiji,,
1061464,Viti Levu Thermal 6,,,,,,,Fiji Electricity Authority,,,,,,,,,,,,,,Fiji Electricity Authority,http://www.energyandinfrastructure.com/sections/profiles1/408-fiji-electricity-authority,,,,,,,,,,,,Fiji,,
1061465,Vaturu,Hydro,,Run-of-River,,3,2005,Fiji Electricity Authority,,,,,,,,,,,-17.740101,177.546851,,Fiji Electricity Authority,http://www.energyandinfrastructure.com/sections/profiles1/408-fiji-electricity-authority,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1124483924.62/view,,,,,,,,,,Fiji,,WRI
1061467,Butoni,Wind,,Onshore Wind,37x.275,10.1,2008,Fiji Electricity Authority,,,,,,,,,,,-18.1129,177.5057,,Fiji Electricity Authority,http://www.energyandinfrastructure.com/sections/profiles1/408-fiji-electricity-authority,Energy Fiji Limited,http://efl.com.fj/about-us/renewable-projects/wind-electricity-projects/,,,,,,,,,,Fiji,,WRI
