Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1061409,Santa Maria,Hydro,,,3,6,1927,,Operational,Zunil,0,2016,,,,,,,14.72,-91.523,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Zunil,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061420,Tampa,Diesel,,OCGT,1,80,,,Operational,Escuintla,0,2016,,,,,,,14.25,-90.807,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Escuintla,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061421,Escuintla Gas 5,Diesel,,OCGT,1,41.9,1985,,Operational,Escuintla,0.07,2016,,,,,,,14.26,-90.798,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Escuintla,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061422,Stewart & Stevenson,Diesel,,OCGT,1,51,1995,,Operational,Amatitlán,0,2016,,,,,,,14.26,-90.799,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Amatitlán,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061423,Escuintla Gas 3,Diesel,,OCGT,1,35,,,Operational,Amatitlán,0.08,2016,,,,,,,14.26,-90.797,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Amatitlán,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061424,Laguna Gas 2,Diesel,,OCGT,1,26,,,Operational,Escuintla,0.54,2016,,,,,,,14.46,-90.582,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.001,,,,,Escuintla,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061425,Laguna Gas 1,Diesel,,OCGT,2,17,,,Operational,Escuintla,10,2016,,,,,,,14.46,-90.583,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.014,,,,,Escuintla,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061430,Generadora Progreso,Oil,,Internal Combustion Engine,6,22,,,Operational,Sanarate,0,2016,,,,,,,14.82,-90.289,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Sanarate,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061433,Industria Textiles Del Lago,Oil,,Internal Combustion Engine,10,70,,,Operational,Amatitlan,149.7,2016,,,,,,,14.46,-90.637,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.24,,,,,Amatitlan,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061436,Puerto Quetzal Power,Oil,,Internal Combustion Engine,10,59,,,Operational,Puerto Quetzal,86.2,2016,,,,,,,13.92,-90.786,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.17,,,,,Puerto Quetzal,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061441,La Union,Biomass,,Sub-critical Thermal,,78,1995,,Operational,Santa Lucia Cotz.,254.2,2016,,,,,,,14.27,-91.096,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.37,,,,,Santa Lucia Cotz.,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061442,Madre Tierra,Biomass,,Sub-critical Thermal,,28,1996,,Operational,Santa Lucia Cotz.,144.2,2016,,,,,,,14.35,-91.065,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.59,,,,,Santa Lucia Cotz.,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061443,Magdalena,Biomass,,Sub-critical Thermal,,145,1994,,Operational,0,999.9,2016,,,,,,,14.12,-90.932,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.79,,,,,,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061444,Palo Gordo,Biomass,,Sub-critical Thermal,,76.9,2014,,Operational,0,173.5,2016,,,,,,,14.49,-91.398,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.26,,,,,,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061445,Pantaleon,Biomass,,Sub-critical Thermal,,82,1991,,Operational,Siquinalá,386.9,2016,,,,,,,14.33,-90.993,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.54,,,,,Siquinalá,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061446,San Diego,Biomass,,Sub-critical Thermal,,5,2004,,Operational,Escuintla,0,2016,,,,,,,14.37,-90.806,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Escuintla,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061447,Santa Ana,Biomass,,Sub-critical Thermal,,104.5,1995,,Operational,Escuintla,372.7,2016,,,,,,,14.24,-90.842,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.41,,,,,Escuintla,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061448,Santa Lucia,Biomass,,Sub-critical Thermal,,44,2014,,Operational,Santa Lucia Cotz.,0,2016,,,,,,,14.35,-91.064,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Santa Lucia Cotz.,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061449,Trinidad,Biomass,,Sub-critical Thermal,,86.8,2011,,Operational,Masagua,167.4,2016,,,,,,,14.15,-90.841,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.47,,,,,Masagua,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061450,Tulula,Biomass,,Sub-critical Thermal,,50,2001,,Operational,Cuyotenango,93.6,2016,,,,,,,14.51,-91.586,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.21,,,,,Cuyotenango,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061451,Horus 1 y 2,Solar,,PV,,80,2015,,Operational,Chiquimulilla,130.29,2016,,,,,,,14.04,-90.36,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.2,,,,,Chiquimulilla,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061452,San Antonio El Sitio,Wind,,Onshore Wind,,48,2015,,Operational,Villa Canales,122.38,2016,,,,,,,14.36,-90.556,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.29,,,,,Villa Canales,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061453,Zunil,Geothermal,,,7,28.6,1999,,Operational,La Calera,135.48,2016,,,,,,,14.77,-91.505,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.54,,,,,La Calera,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061454,Ortitlán,Geothermal,,,1,25.2,2007,,Operational,Escuintla,137,2016,,,,,,,14.41,-90.607,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.62,,,,,Escuintla,,,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1029291,Viento Blanco,Wind,,Onshore Wind,,23.1,2015,,Operational,Escuintla,92.7,2016,,,,,,,14.36,-90.556,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.45,,,,,,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1029289,Sibo,Solar,,PV,,5,2014,Scati,Operational,Estanzuela,8.7,2016,,,,,,,14.98,-89.651,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.2,,,,,,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1029268,Olmeca I,Biogas,,,,3.8,2015,,Operational,Santa Rosa,,2016,,,,,,,14.22,-91.399,,CDM,https://cdm.unfccc.int/Projects/DB/ICONTEC1356727327.56/view,,,,,,,,,,,,,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1029269,Olmeca III,Biogas,,,,2.1,2015,,Operational,,,2016,,,,,,,14.64,-92.149,,CDM,https://cdm.unfccc.int/Projects/DB/SGS-UKL1244558254.22/view,,,,,,,,,,,,,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061437,SIDEGUA,Oil,,Internal Combustion Engine,10,44,,,Operational,Escuintla,0,2016,,,,,,,14.24,-90.817,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Escuintla,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061438,Biomass,Biomass,,Sub-critical Thermal,,119,2014,,Operational,La Democracia,0,2016,,,,,,,14.12,-90.93,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,La Democracia,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061439,Concepcion,Biomass,,Sub-critical Thermal,,27.5,1994,,Operational,Escuintla,105.8,2016,,,,,,,14.33,-90.787,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.44,,,,,Escuintla,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061440,El Pilar,Biomass,,Sub-critical Thermal,,33.4,2012,,Operational,San Andrés Villa Seca,0,2016,,,,,,,14.54,-91.588,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,San Andrés Villa Seca,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061412,Vision de Aguila,Hydro,,,2,2.1,2013,,Operational,Cobán,7,2016,,,,,,,15.6,-90.398,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.39,,,,,Cobán,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061413,Xacbal,Hydro,,,2,94,2010,,Operational,Chajul,369.9,2016,,,,,,,15.62,-91.085,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.45,,,,,Chajul,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061383,Aguacapa,Hydro,,,3,90,1982,,Operational,Pueblo Nuevo Viñas,268.5,2016,,,,,,,14.29,-90.505,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.34,,,,,Pueblo Nuevo Viñas,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061414,Arizona Vapor,Bunker Oil,,Sub-critical Thermal,1,170,2008,,Operational,Puerto San José,4.1,2016,,,,,,,13.96,-90.798,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061415,Costa Sur,Coal,,Sub-critical Thermal,1,30.2,2013,,Operational,Guanagazapa,216.9,2016,,,,,,,14.17,-90.672,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.82,,,,,,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061384,Candelaria,Hydro,,,1,4.6,2006,,Operational,Senahú,27,2016,,,,,,,15.4,-89.763,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.67,,,,,Senahú,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061385,Chichaic,Hydro,,,2,0.6,1979,,Operational,Cobán,0,2016,,,,,,,15.44,-90.411,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Cobán,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061417,La Libertad,Coal,,Sub-critical Thermal,1,20,2008,,Operational,Villa Nueva,90.9,2016,,,,,,,14.5,-90.581,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.52,,,,,,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061386,Chixoy,Hydro,,,5,300,1983,,Operational,San Cristóbal,"1,205.40",2016,,,,,,,15.28,-90.491,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.46,,,,,San Cristóbal,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061426,DARSA,Oil,,Internal Combustion Engine,1,5,2013,,Operational,Santa Lucia Cotz.,0,2016,,,,,,,14.33,-91.01,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Santa Lucia Cotz.,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061387,Choloma,Hydro,,,1,9.7,2011,,Operational,Senahú,30.5,2016,,,,,,,15.44,-89.74,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.36,,,,,Senahú,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061388,El Canada,Hydro,,,2,48.1,2003,,Operational,Zunil,176,2016,,,,,,,14.69,-91.532,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.42,,,,,Zunil,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061427,Electro Generacion Cristal Bunker,Oil,,Internal Combustion Engine,2,10,1905,,Operational,Santa Elena,0,2016,,,,,,,15.53,-89.336,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0,,,,,Santa Elena,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
1061428,Electrogeneracion,Oil,,Internal Combustion Engine,2,15.8,2003,,Operational,Amatitlan,36.4,2016,,,,,,,14.46,-90.636,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,,,,,0.26,,,,,Amatitlan,,Guatemala,,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar
