Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1061349,Ahlone,Natural Gas,,CCGT,4,154.2,1995-1999,Myanmar Electric Power Enterprise (MEPE),Operational,Yangon,990,2015,Forced Recirculating Tower,Yangon River,,,,,16.78,96.131,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061350,Baluchaung BHP (1),Hydropower,,Run of River,2,28,1992,Myanmar Electric Power Enterprise (MEPE),Operational,Kayah,200,2015,,,,,,,19.57,97.316,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061351,Baluchaung BHP (2),Hydropower,,Run of River,6,168,1974,Myanmar Electric Power Enterprise (MEPE),Operational,Kayah,1190,2015,,,,,,,19.56,97.359,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061352,Hlawga,Natural Gas,,CCGT,3,154.2,1995-1999,,Operational,Yangon,990,2015,Forced Recirculating Tower,Hlawaga Lake,,,,,16.98,96.125,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061353,KengTawn,Hydropower,,,3,54,2008,,Operational,Shan,378,2015,,,,,,,20.91,97.975,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061354,Khabaung,Hydropower,,Run of River,2,30,2008,,Operational,Bago,120,2015,,,,,,,19.16,96.717,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061355,Kinda,Hydropower,,Dam with Reservoir,2,56,1985,,Operational,Mandalay,165,2015,,,,,,,21.81,95.589,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061356,Kun,Hydropower,,Dam with Reservoir,3,60,2011,,Operational,Bago,190,2015,,,,,,,18.42,96.364,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061357,Kyee ON Kyee Wa,Hydropower,,Dam with Reservoir,2,74,2012,,Operational,Magwe,370,2015,,,,,,,18.9,96.221,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061358,Kyunchaung,Natural Gas,,Dam with Reservoir,3,54.3,1974,,Operational,Magwe,300,2015,,,,,,,21.03,94.418,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061359,Mann,Natural Gas,,OCGT,2,36.9,1978,,Operational,Magwe,0,2015,Forced Recirculating Tower,,,,,,21.19,94.803,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061360,Mawlamyaing,Natural Gas,,OCGT,2,12,1980,,Operational,Mon,60,2015,Forced Recirculating Tower,,,,,,16.47,97.654,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061361,Mone,Hydropower,,Dam with Reservoir,3,75,2004,,Operational,Magwe,330,2015,,,,,,,20.48,94.255,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061362,Myanaung,Natural Gas,,OCGT,2,34.7,1975-1984,,Operational,Ayarwaddy,200,2015,Forced Recirculating Tower,,,,,,18.31,95.297,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061363,Paunglaung,Hydropower,,Dam with Reservoir,4,280,2005,,Operational,Mandalay,911,2015,,,,,,,19.78,96.333,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061364,Sedawgyi,Hydropower,,Dam with Reservoir,2,25,1989,,Operational,Mandalay,134,2015,,,,,,,22.35,96.323,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061365,Shwedaung,Natural Gas,,CCGT,3,55.35,1984,,Operational,Bago,300,2015,,,,,,,18.73,95.229,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061366,Shwegyin,Hydropower,,Run of River,4,75.2,2011,,Operational,Bago,262,2015,,,Sittang River,,,,19.68,96.291,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061367,Shweli (1),Hydropower,,Run of River,6,600,2008,,Operational,Shan,4022,2015,,,,,,,23.7,97.507,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061368,Tarpein-1,Hydropower,,Dam with Reservoir,4,240,2011,,Operational,Kachin,1065,2015,,,,,,,24.42,97.525,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061369,Thakayta,Natural Gas,Oil,CCGT,3,92,1990,,Operational,Yangon,568,2015,Forced Recirculating Tower,,,,,,16.81,96.226,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061370,Thaphanseik,Hydropower,,Dam with Reservoir,3,30,2002,,Operational,Sagaing,117,2015,,,,,,,23.31,95.358,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
1061371,Thaton,Natural Gas,,,3,50.95,1985-2001,,Operational,Mon,300,2015,,,,,,,16.96,97.408,,Open Development Myanmar,https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==,,,,,,,,,,,,Myanmar,,WRI
