Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Generation Data Source,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1020284,HE DJERDAP II,Hydro,,Run of the River and Poundage,,270,,,,,,,ENTSOE,,,,,,,44.30646,22.5667,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,GEODB
1020285,TE KOLUBARA,Lignite,,,,245,,,,,,,ENTSOE,,,,,,,44.4806,20.2934,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,GEODB
1020288,TE MORAVA,Lignite,,,,110,,,,,0.98,2015,ENTSOE,,,,,,,44.2248,21.1627,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,GEODB
1020281,RHE BAJINA BASTA,Hydro,,Pumped Storage,,614,,,,,1.39,2015,ENTSOE,,,,,,,43.9645,19.4102,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,GEODB
1020282,HE BAJINA BASTA,Hydro,,Run of the River and Poundage,,420,,,,,4.57,2015,ENTSOE,,,,,,,43.9645,19.4102,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,GEODB
1020283,TE KOSTOLAC A,Lignite,,,,281,,,,,4.58,2015,ENTSOE,,,,,,,44.7229,21.1717,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,GEODB
1020278,TE KOSTOLAC B,Lignite,,,,697,,,,,14.9,2015,ENTSOE,,,,,,,44.7307,21.2104,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,GEODB
1020289,TPP Sremska Mitrovica,Natural Gas,Oil,OCGT,,35,,,,,200,2015,ENTSOE,,,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,Panonske Energy,http://www.eps.rs/en/Poslovanje-EE/Pages/TeTo.aspx,,,,,,,,,,Serbia,,
1020287,TETO ZRENJANIN,Natural Gas,Oil,OCGT,,120,,,,,750,2015,ENTSOE,,,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,Panonske Energy,http://www.eps.rs/en/Poslovanje-EE/Pages/TeTo.aspx,,,,,,,,,,Serbia,,
1020286,TETO NOVI SAD,Natural Gas,Oil,CCGT,,245,,,,,"1,500",2015,ENTSOE,,,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,Panonske Energy,http://www.eps.rs/en/Poslovanje-EE/Pages/TeTo.aspx,,,,,,,,,,Serbia,,
1020277,HE DJERDAP I,Hydro,,Run of the River and Poundage,,1086,,,,,12.72,2015,ENTSOE,,,,,,,44.6684,22.5268,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,GEODB
1020279,TE KOSOVO B,Lignite,,,,618,,,,,,,ENTSOE,,,,,,,42.69451,21.05902,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,WRI
1020280,TE KOSOVO A,Lignite,,,,617,,,,,,,ENTSOE,,,,,,,42.67732,21.08855,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,WRI
1020276,TENT B,Lignite,,,,1270,,,,,27.36,2015,ENTSOE,,,,,,,44.65515,20.00535,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,WRI
1020275,TENT A,Lignite,,,,1730,,,,,36.54,2015,ENTSOE,,,,,,,44.67112,20.15928,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,,,Serbia,,WRI
