gppd_idnr,orig_name,aremi_oid,aremi_name,aremi_comment,nger_2016-2017_index
AUS0000001,Wonthaggi Wind Farm,122,,,128
AUS0000002,Walkaway Wind Farm,123,,,236
AUS0000003,Cullerin Range Wind Farm,124,,,297
AUS0000004,Wattle Point Wind Farm,92,,,36
AUS0000005,Snowtown Wind Farm Stage 1,125,Snowtown North,,433
AUS0000006,Challicum Hills Wind Farm,1,,,446
AUS0000007,Cape Bridgewater Wind Farm,126,,,
AUS0000008,Barcaldine (Len Wishaw),127,,,
AUS0000009,Bluff Point (Woolnorth) Wind Farm,128,,,428
AUS0000010,Studland Bay (Woolnorth) Wind Farm,129,,,429
AUS0000011,The Drop,130,,,454
AUS0000012,Pindari,131,,,30
AUS0000013,Nieterana,51,,,
AUS0000014,Banimboola,4,,,3
AUS0000015,Codrington Wind Farm,14,,,448
AUS0000016,Oakland Hills Wind Farm,52,,,29
AUS0000017,Shepparton Biogas Generation Plant,2,,,262
AUS0000018,Tatura Biogas Generation Plant,53,,,
AUS0000019,Waubra Wind Farm,19,,,1
AUS0000020,Yambuk Wind Farm,15,,,456
AUS0000021,Jindabyne Dam Mini Hydro,54,,,
AUS0000024,Hallett 4 North Brown Hill  Wind Farm,55,North Brown Hill  Wind Farm,,17
AUS0000025,Clements Gap Wind Farm,56,,,447
AUS0000026,Wyangala A,57,,,200
AUS0000027,Blayney Wind Farm,58,,,
AUS0000028,Woodlawn Wind Farm,59,,,240
AUS0000029,Woodlawn Bioreactor,60,,,
AUS0000030,West Nowra (Shoalhaven),61,,,
AUS0000031,Tumut 3,62,,,
AUS0000032,Trevallyn,11,,,230
AUS0000033,Summerhill,63,,,
AUS0000034,Mugga Lane,64,,,114
AUS0000035,Lucas Heights III,,,,
AUS0000036,Lucas Heights II,65,,,110
AUS0000037,Lucas Heights I,66,,,109
AUS0000038,Jounama,67,,,
AUS0000039,Jacks Gully,68,,,104
AUS0000040,Gunning,69,,,0
AUS0000041,Grange Avenue,70,,,101
AUS0000042,Esperance Wind Farm Nine Mile Beach,71,,,159
AUS0000043,Emu Downs Wind Farm,105,,,48
AUS0000044,Eastern Creek 2,72,,,255
AUS0000045,Eastern Creek,73,,,
AUS0000046,Crookwell Wind Farm,74,,,
AUS0000047,Capital Wind Farm,75,Capital Hill Wind Farm,,238
AUS0000048,Burrinjuck Power Station,76,,,192
AUS0000049,Awaba,77,,,250
AUS0000050,Waterloo Wind Farm,91,,,178
AUS0000051,Windy Hill Wind Farm,78,,,409
AUS0000052,Starfish Hill Wind Farm,79,,,406
AUS0000053,Pioneer Sugar Mill,80,,,
AUS0000054,Moranbah North,81,,,113
AUS0000055,Koombooloomba,82,,,
AUS0000056,Invicta Sugar Mill,83,,,
AUS0000057,Wivenhoe,84,,,
AUS0000058,Terminal Storage,85,,,
AUS0000059,Suncoast Gold Macadamia,86,,,
AUS0000060,Rocky Point Sugar Sugar Mill,87,,,
AUS0000061,Mount Millar Wind Farm,88,,,271
AUS0000062,Lake Bonney Wind Farm,89,Lake Bonney Stage 2 Wind Farm,,239
AUS0000063,Cathedral Rocks Wind Farm,98,,,174
AUS0000064,Canunda Wind Farm,31,,,73
AUS0000065,Albany Wind Farm,90,,,
AUS0000066,Wyndham,132,,,
AUS0000067,Wollert,133,,,266
AUS0000068,Whitwood Road,134,,,
AUS0000069,Toora Wind Farm,135,,,407
AUS0000070,Ti Tree Bioenergy,136,,,
AUS0000071,Springvale,20,,,120
AUS0000072,Roghan Road,137,,,119
AUS0000073,Rochedale,138,,,261
AUS0000074,Plane Creek Sugar Mill,139,,,
AUS0000075,Loy Yang B,26,,,244
AUS0000076,Hume,30,,,193
AUS0000077,Hallam Road,21,,,
AUS0000078,Browns Plains,140,,,89
AUS0000079,Brooklyn,141,,,87
AUS0000080,Berwick,142,,,84
AUS0000081,Bairnsdale,28,,,329
AUS0000082,Broadmeadows,143,,,86
AUS0000083,Clayton,9,Claytons,,90
AUS0000084,Eildon,6,,,449
AUS0000085,Energy Brix,144,,,
AUS0000086,Lake Glenmaggie,145,,,450
AUS0000087,Hazelwood,146,,,281
AUS0000088,Jeeralang A,24,,,146
AUS0000089,Jeeralang B,23,,,146
AUS0000090,Laverton North,7,,,439
AUS0000091,Longford,147,,,
AUS0000092,Loy Yang A,25,,,24
AUS0000093,Mornington,148,,,
AUS0000094,Newport,8,,,147
AUS0000095,Rubicon,149,,,32
AUS0000096,Somerton,150,,,34
AUS0000097,Symex Port Melbourne,151,,,
AUS0000098,Valley (Peaking Facility),27,,,
AUS0000099,Lake William Hovell,5,,,455
AUS0000100,Yallourn,22,,,179
AUS0000101,Yarrawonga,29,,,41
AUS0000102,Bogong (Mount Beauty Hydro Scheme),152,,,5
AUS0000103,Clover,153,,,8
AUS0000104,McKay Creek (Mount Beauty Hydro Scheme),154,,,26
AUS0000105,West Kiewa (Mount Beauty Hydro Scheme),155,,,38
AUS0000106,Murray 2,156,,,
AUS0000107,Murray 1,157,,,
AUS0000108,Mortlake,17,,,307
AUS0000109,Dartmouth (Mount Beauty Hydro Scheme),3,,,11
AUS0000110,Cape Sir William Grant Wind Farm,158,,,
AUS0000111,Cape Nelson South Wind Farm,159,,,
AUS0000112,Cape Nelson North Wind Farm,160,,,
AUS0000113,Ballarat Base Hospital,161,,,
AUS0000114,Anglesea,162,,,
AUS0000115,Remount,163,,,260
AUS0000116,Wayatinah,164,,,233
AUS0000117,Tungatinah,165,,,232
AUS0000118,Tods Corner,166,,,229
AUS0000119,Tarraleah,167,,,228
AUS0000120,Repulse,40,,,225
AUS0000121,Poatina,12,,,223
AUS0000122,Meadowbank,168,,,220
AUS0000123,Liapootah,169,,,218
AUS0000124,Lake Echo,13,,,214
AUS0000125,Cluny,170,,,207
AUS0000126,Catagunya,171,,,205
AUS0000127,Butlers Gorge,172,,,204
AUS0000128,Tribute,43,,,231
AUS0000129,Rowallan,173,,,226
AUS0000130,Paloona,50,,,221
AUS0000131,Lower Lake Margaret,174,,,215
AUS0000132,Lemonthyme,175,,,217
AUS0000133,Upper Lake Margaret,176,,,216
AUS0000134,John Butters,42,,,212
AUS0000135,Fisher,177,,,209
AUS0000136,Devils Gate,49,,,208
AUS0000137,Bastyan,44,,,203
AUS0000138,Tamar Valley,178,,,227
AUS0000139,Bell Bay (Bell Bay Three),10,,,
AUS0000140,Wilmot,48,,,234
AUS0000141,Reece,45,,,224
AUS0000142,Mackintosh,46,,,219
AUS0000143,Gordon,41,,,211
AUS0000144,Cethana,47,,,206
AUS0000145,Inkerman Sugar Mill,179,,,
AUS0000146,Mackay,180,,,460
AUS0000147,Roma,181,,,311
AUS0000148,Swanbank B,182,,,
AUS0000149,Swanbank E,183,,,265
AUS0000150,Wivenhoe Hydroelectric,184,,,
AUS0000151,Barron Gorge,185,,,458
AUS0000152,Braemar 1,186,,,330
AUS0000153,Braemar 2,187,,,50
AUS0000154,Condamine A,188,,,403
AUS0000155,Daandine,189,,,130
AUS0000156,Darling Downs,190,,,299
AUS0000157,German Creek,191,,,99
AUS0000158,Gladstone,192,,,287
AUS0000159,Isis Central Sugar Mill,193,,,
AUS0000160,Kalamia Sugar Mill,194,,,
AUS0000161,Kareeya,195,,,459
AUS0000162,Kogan Creek,196,,,70
AUS0000163,Millmerran,197,,,318
AUS0000164,Moranbah,198,,,27
AUS0000165,Mount Stuart,199,,,309
AUS0000166,Oakey,200,,,182
AUS0000167,Oaky Creek,201,,,
AUS0000168,Stanwell,202,,,462
AUS0000169,Tarong,243,,,
AUS0000170,Tarong North,244,,,
AUS0000171,Tarong,245,,,
AUS0000172,Yabulu,246,Townsville ,,
AUS0000173,Yarwun,247,,,
AUS0000174,Macknade Sugar Mill,248,,,
AUS0000175,Victoria Sugar Mill,249,,,
AUS0000176,Callide C,250,,,69
AUS0000177,Callide B,251,,,68
AUS0000178,Callide A,252,,,
AUS0000179,Collinsville,253,,,
AUS0000180,Broome,254,,,88
AUS0000181,Burrup Peninsula (Karratha Gas Plant),255,,,
AUS0000182,Burrup Peninsula (Pluto Phase 1),256,,,
AUS0000183,Cockburn,113,,,155
AUS0000184,Collie (Bluewaters),107,,,
AUS0000185,Dampier,120,,,
AUS0000186,Esperance,257,,,184
AUS0000187,Geraldton,118,,,
AUS0000188,Kalgoorlie (Parkeston),114,,,472
AUS0000189,Karratha,258,,,52
AUS0000190,Kwinana (Alcoa Refinery),259,,,
AUS0000191,Kwinana A,111,,,
AUS0000192,Kwinana C,112,,,
AUS0000193,Kwinana Cogeneration,109,,,242
AUS0000194,Kwinan,260,Kwinana,,
AUS0000195,Kwinana High Efficiency Gas Turbine Plant,110,,,
AUS0000196,Kwinana (NewGen),261,Kwinana NewGen,,285
AUS0000197,Kwinana Swift,262,,,322
AUS0000198,Neerabup,263,,,181
AUS0000199,Newman Iron Ore Mine,264,,,331
AUS0000200,Pinjar,104,,,166
AUS0000201,Pinjarra Bauxite Mine and Alumina Refinery,265,,,43
AUS0000202,Ravensthorpe,266,,,168
AUS0000203,Wagerup Bauxite Mine and Alumina Refinery,267,,,44
AUS0000204,Wagerup,108,,,333
AUS0000205,West Kalgoorlie,268,,,
AUS0000206,Port Hedland,269,,,332
AUS0000207,Mount Magnet,270,,,
AUS0000208,Collie A,106,,,156
AUS0000209,Kalgoorlie Nickel Smelter,271,,,162
AUS0000210,Kambalda,272,,,473
AUS0000211,Kemerton,103,,,405
AUS0000212,Leinster Nickel Mine,273,,,474
AUS0000213,Mount Keith Nickel Mine,274,,,475
AUS0000214,Muja C,275,,,
AUS0000215,Muja D,102,,,
AUS0000216,Mungarra,117,,,165
AUS0000217,Worsley Cogeneration,276,,,
AUS0000218,Yurralyi Maya (Karratha Seven Mile),121,,,327
AUS0000219,Laverton (Granny Smith Gold Mine),277,,,
AUS0000220,Argyle Diamond Mine,278,,,
AUS0000221,Christmas Creek Iron Ore Mine,279,,,
AUS0000222,Jundee Gold Mine,280,,,
AUS0000223,Leonora (Murrin Murrin Nickel Mine),281,Murrin Murrin (Nickel Mine),,
AUS0000224,Ord River,101,,,451
AUS0000225,Plutonic Gold Mine,282,,,
AUS0000226,Sunrise Dam,283,,,
AUS0000227,Wiluna Gold Mine,284,,,
AUS0000228,Paraburdoo (Standby),203,,,
AUS0000229,Paraburdoo,119,,,325
AUS0000230,Telfer Gold Mine,204,,,
AUS0000231,Amcor Gawler,205,,,
AUS0000232,Angaston,39,,,437
AUS0000233,Dry Creek,33,,,467
AUS0000234,Lonsdale,206,,,440
AUS0000235,Osborne,36,,,53
AUS0000236,Pedler Creek,207,,,
AUS0000237,Pelican Point,37,,,320
AUS0000238,Port Lincoln,97,,,469
AUS0000239,Quarantine,38,,,310
AUS0000240,Torrens Island A,34,,,35
AUS0000241,Torrens Island B,35,,,
AUS0000242,Wingfield I,208,,,126
AUS0000243,Wingfield II,209,,,127
AUS0000244,Ladbroke Grove,210,,,305
AUS0000245,Snuggery,32,,,470
AUS0000246,Snowtown,,,,
AUS0000247,Playford,240,Playford B,,
AUS0000248,Northern,212,,,
AUS0000249,Mintaro,93,,,468
AUS0000250,Hallett,95,,,175
AUS0000251,Berrimah,213,,,
AUS0000252,Landfill Management Services Shoal Bay,214,,,
AUS0000253,Tennant Creek,215,,,397
AUS0000254,Ron Goodin,216,,,396
AUS0000255,Owen Springs,217,,,395
AUS0000256,Brewer,218,,,
AUS0000257,Yulara,219,,,399
AUS0000258,Pine Creek,220,,,117
AUS0000259,Katherine,221,,,393
AUS0000260,Weddell,100,,,398
AUS0000261,Channel Island,99,,,392
AUS0000262,Warrego,222,,,
AUS0000263,Condong Sugar Mill,223,,,76
AUS0000264,Appin (Mine),224,,,80
AUS0000265,Bayswater,225,,,4
AUS0000266,Bendeela (Shoalhaven Scheme),226,,,312
AUS0000267,Blowering,227,,,
AUS0000268,Broadwater,228,,,75
AUS0000269,Brown Mountain,229,,,
AUS0000270,Capral (Aluminium Smelter),230,,,
AUS0000271,Colongra,231,,,438
AUS0000272,EarthPower Biomass Plant,232,,,
AUS0000273,Eraring,233,,,
AUS0000274,Gadara,234,Visy Pulp and Paper Tumut,,
AUS0000275,Glenbawn,235,,,13
AUS0000276,Glennies Creek,236,,,100
AUS0000277,Hunter,237,,,
AUS0000278,Hunter Valley,238,,,20
AUS0000279,Kangaroo Valley (Shoalhaven Scheme),239,,,
AUS0000280,Liddell,240,,,23
AUS0000281,Mt Piper,241,,,176
AUS0000282,Munmorah,242,,,
AUS0000283,Nymboida,285,,,
AUS0000284,Oaky,286,,,
AUS0000285,Redbank,287,,,
AUS0000286,Smithfield Energy,288,,,57
AUS0000287,Tahmoor,289,,,121
AUS0000288,Tallawarra,290,,,177
AUS0000289,Teralba,291,,,
AUS0000290,Tomago Aluminium Smelter,292,,,
AUS0000291,Tower Mine,293,,,123
AUS0000292,Tumut 1 (Upper Tumut),294,,,
AUS0000293,Tumut 2 (Upper Tumut),295,,,
AUS0000294,Uranquinty,296,,,315
AUS0000295,Vales Point B,297,,,465
AUS0000296,Wallerawang C,298,,,
AUS0000297,Warragamba,299,,,
AUS0000298,West Illawarra Leagues Club,300,,,
AUS0000299,Western Suburbs Leagues Club (Campbelltown),301,,,
AUS0000300,Burrendong,302,,,7
AUS0000301,Copeton,303,,,10
AUS0000302,Wilga Park,304,,,425
AUS0000303,Guthega,305,,,
AUS0000304,Lake Keepit,306,,,194
AUS0000305,Broken Hill,307,,,
AUS0000306,Eraring,308,,,301
AUS0000307,Collgar Wind Farm,115,,,140
AUS0000308,Maryvale Mill,309,,,
AUS0000309,Grasmere Wind Farm (Albany stage II),310,Grasmere Wind Farm (Albany Stage II),,153
AUS0000310,Tully Sugar Mill,311,,,
AUS0000311,Proserpine Sugar Mill,312,,,
AUS0000313,Sydney,314,,,
AUS0000314,North Sydney,315,,,
AUS0000315,Blackmores,316,,,
AUS0000316,Nine Network,317,,,
AUS0000317,Revesby Workers Club,318,,,
AUS0000318,St George Leagues Club,319,,,
AUS0000319,University of New South Wales,320,,,
AUS0000320,Norseman Mine,321,,,
AUS0000321,Darlot Gold Mine,322,,,
AUS0000322,Windimurra Vanadium Mine,323,,,
AUS0000323,Rottnest Island Wind Turbine,324,,,
AUS0000324,Cloudbreak,325,,,
