Fuel,gid,Name,Latitude,Longitude,Capacity (MW),Notes
Biomass,13,Laja,-37.16902926,-72.40867534,,
Biomass,15,Lautaro,-38.54185275,-72.46742853,,
Biomass,16,Lautaro II,-38.54067893,-72.4681951,,
Biomass,6,CMPC Pacífico,-37.79171097,-72.48416667,,
Biomass,12,Ancalí 1,-37.589507,-72.300541,,
Biomass,7,CMPC Santa Fe,-37.51509168,-72.65651665,,
Biomass,23,Santa Fe,-37.51444431,-72.65188889,,
Biomass,5,CMPC_Laja,-37.28952765,-72.71138889,,
Biomass,12,HBS,-37.286379,-72.351036,,
Biomass,2,Arauco,-37.20919683,-73.2221787,,
Biomass,4,Cholguín,-37.16487933,-72.06741925,,
Biomass,20,Masisa,-37.04554967,-72.40008609,,
Biomass,11,Escuadrín,-36.93498877,-73.15560556,,
Biomass,9,Energía BíoBío,-36.83480137,-73.09612441,,
Biomass,22,Nueva Aldea III,-36.66199755,-72.4822404,,
Biomass,21,Nueva Aldea I (ex Itata),-36.65971293,-72.47309744,,
Biomass,8,Coelemu,-36.51080611,-72.73692433,,
Biomass,3,Celco,-35.32615156,-72.41634576,,
Biomass,17,Licanten,-34.98819124,-72.01993781,,
Biomass,26,Tamm,-34.716595,-71.038897,,
Biomass,24,Santa Irene,-34.47123787,-71.29405076,,
Biomass,14,Las Pampas,-34.36762778,-71.40921147,,
Biomass,10,Energía Pacífico,-33.98167298,-70.69755996,,
Biomass,25,Santa Marta,-33.70043139,-70.7978427,,
Biomass,19,Loma Los Colorados II,-32.95670272,-70.80459365,,
Biomass,18,Loma Los Colorados (KDM),-32.95568673,-70.80434651,,
Biomass,27,Aguas Andinas,0,0,,
Biomass,28,Arauco Bioenergia - Mariquina,0,0,,
Biomass,29,Arauco - Constitucion,0,0,,
Hydro,23,Collil,-42.59760257,-73.95797845,,
Hydro,31,Dongo,-42.567774,-73.894484,,
Hydro,54,La Arena,-41.68125771,-72.64551971,,
Hydro,13,Canutillar,-41.52805122,-72.34165779,,
Hydro,44,Ensenada Rio Blanco,-41.27189027,-72.54079493,,
Hydro,67,Los Colonos,-40.984871,-72.886093,,
Hydro,48,Hidrobonito_MC1,-40.91779133,-72.40364836,,
Hydro,49,Hidrobonito_MC2,-40.91779133,-72.40364836,,
Hydro,87,Nalcas,-40.89518392,-72.34006814,,
Hydro,12,Callao,-40.88784517,-72.33820219,,
Hydro,14,Capullo,-40.81919145,-72.39994075,,
Hydro,68,Los Corrales,-40.64717252,-72.31481324,,
Hydro,69,Los Corrales 2,-40.64123504,-72.31435371,,
Hydro,96,PilmaiquÍ©n,-40.63809526,-72.64967227,,
Hydro,115,Rucatayo,-40.61913204,-72.70381544,,
Hydro,62,LicÍn,-40.6180009,-72.40139982,,
Hydro,33,El Arrayan,-40.59814026,-72.46473814,,
Hydro,29,Don Walterio,-40.55676309,-72.51586656,,
Hydro,93,Pehui,-40.55669693,-72.51614063,,
Hydro,27,Curileufu,-40.39145361,-72.53987372,,
Hydro,30,DoÍ±a Hilda,-40.3328889,-72.00594803,,
Hydro,95,Pichilonco,-40.32898463,-72.32262479,,
Hydro,86,Muchi,-40.31677408,-72.22726115,,
Hydro,24,Contra,-40.297515,-72.833332,,
Hydro,60,Las Flores,-40.1363,-72.39609,,
Hydro,108,Reca,-39.7834396,-72.11592279,,
Hydro,100,Pullinque,-39.59567188,-72.21745089,,
Hydro,32,Donguil,-39.12011097,-72.67428716,,
Hydro,3,AllipÍ©n,-38.9987486,-72.2229575,,
Hydro,77,Maisan,-38.973982,-72.647032,,
Hydro,124,Trufultruful,-38.8403084,-71.6607857,,
Hydro,37,El Manzano,-38.83916001,-71.76333666,,
Hydro,113,RÍ_o Trueno,-38.60090565,-72.04726581,,
Hydro,89,Palmucho,-38.04520812,-71.47134997,,
Hydro,106,Ralco,-37.99693246,-71.5199021,,
Hydro,90,Pangue,-37.90986824,-71.60868334,,
Hydro,10,Boquiamargo,-37.86764494,-71.61376905,,
Hydro,109,Renaico,-37.81383557,-72.41554488,,
Hydro,112,RÍ_o PicoiquÍ©n,-37.809644,-72.833582,,
Hydro,5,Angostura,-37.71026186,-71.81685945,,
Hydro,104,Quillaileo,-37.69296019,-71.80823279,,
Hydro,64,Lleuquereo,-37.56668503,-71.52413696,,
Hydro,94,PeuchÍ©n,-37.5404479,-71.59645667,,
Hydro,80,Mampil,-37.54036677,-71.7098204,,
Hydro,74,Los Padres,-37.52832797,-71.70591753,,
Hydro,35,El Diuto,-37.42288238,-72.08175236,,
Hydro,1,Abanico,-37.36455264,-71.48939449,,
Hydro,116,RucÍ_e,-37.36033375,-71.86572704,,
Hydro,105,Quilleco,-37.33596159,-71.95673864,,
Hydro,6,Antuco,-37.31032199,-71.62641624,,
Hydro,41,El Toro,-37.29336321,-71.49241301,,
Hydro,59,Laja 1,-37.244097,-72.530241,,
Hydro,70,Los Hierros,-35.85780688,-71.06389437,,
Hydro,114,Robleria,-35.85025383,-71.28064247,,
Hydro,71,Los Hierros 2,-35.83979023,-71.07888212,,
Hydro,51,Isla,-35.81042239,-70.8356952,,
Hydro,28,Curillinque,-35.80511259,-70.94108214,,
Hydro,65,Loma Alta,-35.7908646,-70.98217033,,
Hydro,21,Cipreses,-35.78721821,-70.8083704,,
Hydro,88,Ojos de Agua,-35.78594359,-70.80756174,,
Hydro,92,Pehuenche,-35.73375269,-71.1554639,,
Hydro,76,Machicura,-35.73243082,-71.39794414,,
Hydro,22,ColbÍ_n,-35.68534022,-71.36985106,,
Hydro,20,Chiburgo,-35.66145511,-71.35506191,,
Hydro,119,San Ignacio,-35.6146177,-71.54130007,,
Hydro,118,San Clemente,-35.59815619,-71.35564418,,
Hydro,82,Mariposas,-35.59605238,-71.26416768,,
Hydro,63,Lircay,-35.53725081,-71.26135527,,
Hydro,98,Providencia,-35.4696877,-71.27288263,,
Hydro,102,PurÍ_sima,-35.20206763,-71.18201507,,
Hydro,55,La Confluencia,-34.83346103,-70.55371244,,
Hydro,56,La Higuera,-34.75154019,-70.71433748,,
Hydro,117,San AndrÍ©s,-34.7346592,-70.38254103,,
Hydro,18,Chacayes,-34.27555822,-70.45226667,,
Hydro,121,Sauzal,-34.23666345,-70.54740378,,
Hydro,122,Sauzalito,-34.23666345,-70.54740378,,
Hydro,25,Coya,-34.20492211,-70.52570555,,
Hydro,107,Rapel,-34.04094846,-71.59024784,,
Hydro,125,VolcÍn,-33.82064614,-70.21482763,,
Hydro,103,Queltehues,-33.81279646,-70.21932997,,
Hydro,73,Los Morros,-33.64818713,-70.65662133,,
Hydro,7,Auxiliar del Maipo (Caemsa),-33.64268685,-70.63310057,,
Hydro,66,Los Bajos,-33.63523926,-70.59471005,,
Hydro,36,El Llano,-33.62119952,-70.53510047,,
Hydro,101,Puntilla,-33.61871845,-70.53518582,,
Hydro,45,Eyzaguirre,-33.60790113,-70.51064682,,
Hydro,34,El Canelo,-33.603061,-70.359665,,
Hydro,47,GuayacÍn,-33.60268177,-70.3596617,,
Hydro,61,Las Vertientes,-33.59271308,-70.46957312,,
Hydro,79,Mallarauco,-33.58739434,-71.00442179,,
Hydro,39,El RincÍ_n,-33.54803531,-70.54300305,,
Hydro,46,Florida,-33.54758213,-70.54535369,,
Hydro,78,Maitenes,-33.53069855,-70.26167055,,
Hydro,15,Carena,-33.52856916,-70.9528027,,
Hydro,2,Alfalfal,-33.50124402,-70.19265173,,
Hydro,9,Blanco,-32.91704706,-70.32888999,,
Hydro,52,Juncal,-32.90110288,-70.26965457,,
Hydro,53,Juncalito,-32.90110288,-70.26965457,,
Hydro,75,Los Quilos,-32.86649316,-70.40798161,,
Hydro,17,Chacabuquito,-32.85348031,-70.50613843,,
Hydro,120,S. Andes,-32.83232769,-70.53904996,,
Hydro,40,El TÍrtaro,-32.56846932,-70.69884542,,
Hydro,72,Los Molles,-30.74466222,-70.58750614,,
Hydro,57,La Paloma,-30.70039113,-71.037266,,
Hydro,99,Puclaro,-29.99609606,-70.86381858,,
Hydro,111,RÍ_o Huasco,-28.6761844,-70.645085,,
Hydro,19,CHAPIQUIÍ´A,-18.36950662,-69.54689817,,
Hydro,4,Alto Hospicio,0,0,,
Hydro,8,Aysen,0,0,,
Hydro,11,Bureo,0,0,,
Hydro,16,Cavancha,0,0,,
Hydro,26,Cuchildeo,0,0,,
Hydro,38,El Mirador,0,0,,
Hydro,42,El Toro 2,0,0,,
Hydro,43,El Traro,0,0,,
Hydro,50,Hornitos,0,0,,
Hydro,58,Lago Atravesado,0,0,,
Hydro,81,Maria Elena,0,0,,
Hydro,83,MCH Dosal,0,0,,
Hydro,84,Minihidro Santa Rosa,0,0,,
Hydro,85,Monreal,0,0,,
Hydro,91,Panguipulli,0,0,,
Hydro,97,PMGD Mulchen,0,0,,
Hydro,110,Rio Azul,0,0,,
Hydro,123,Traileflu,0,0,,
Solar,7,MarÍ_a Elena,-40.77194112,-72.48752225,,
Solar,25,Solar Techos Altamira,-33.477198,-70.541041,,
Solar,22,Solar PSF Casas Blancas,-31.19498381,-71.03082312,,
Solar,23,Solar PSF Lomas Coloradas,-31.18638248,-71.02254981,,
Solar,14,SDGx01,-30.22716286,-71.09248138,,
Solar,26,Tambo Real,-30.04837,-70.77024,,
Solar,13,Solar Santa Cecilia,-29.1171776,-70.91339172,,
Solar,17,Solar Hornitos,-27.733111,-70.195998,,
Solar,21,Solar Las Terrazas,-27.62839526,-70.3409901,,
Solar,24,Solar San AndrÍ©s,-27.25422453,-70.11122075,,
Solar,4,Solar Llano de Llampos,-27.11746063,-70.1711434,,
Solar,16,Solar Diego de Almagro,-26.37958884,-70.01941659,,
Solar,1,ChaÍ±ares,-26.37476492,-70.06566161,,
Solar,12,PV Salvador,-26.3141167,-69.86805891,,
Solar,20,Solar Javiera,-26.303081,-70.221505,,
Solar,3,Lalackama,-25.12076512,-70.31098556,,
Solar,-1,LA HUAYCA SPS-1,-20.43332819,-69.59999546,Not in dataset,
Solar,10,POZO ALMONTE SOLAR 2,-20.27170425,-69.75594511,,
Solar,11,POZO ALMONTE SOLAR 3,-20.25165956,-69.75878741,,
Solar,2,Esperanza,0,0,,
Solar,5,LOS PUQUIOS,0,0,,
Solar,6,LUNA,0,0,,
Solar,8,PMGD PICA I,0,0,,
Solar,9,POZO ALMONTE SOLAR 1,0,0,,
Solar,15,SOL,0,0,,
Solar,18,SOLAR JAMA 1,0,0,,
Solar,19,SOLAR JAMA 2,0,0,,
Thermal,82,ChiloÍ©,-43.09138349,-73.61552065,,
Thermal,87,QuellÍ_n II,-43.09132964,-73.61429345,,
Thermal,40,Salmofood I,-42.480427,-73.772077,,
Thermal,41,Salmofood II,-42.480427,-73.772077,,
Thermal,85,DegaÍ±,-42.14817266,-73.71554123,,
Thermal,84,Danisco,-41.78211431,-73.44633347,,
Thermal,81,Biomar,-41.78201424,-73.43191177,,
Thermal,90,TrapÍ©n,-41.51772683,-73.0768276,,
Thermal,86,MultiExport (I-II),-41.46781702,-72.97384895,,
Thermal,91,Watt (1-2),-40.5909699,-73.09734616,,
Thermal,88,Skretting,-40.58751112,-73.09888695,,
Thermal,89,Skretting Osorno,-40.58748592,-73.09887762,,
Thermal,83,Chuyaca,-40.57864546,-73.08841264,,
Thermal,92,Antilhue TG,-39.80087119,-73.18517656,,
Thermal,93,Calle Calle,-39.79992119,-73.18907212,,
Thermal,94,Lousiana Pacific,-39.56095615,-72.47430346,,
Thermal,46,Lonquimay,-38.5527653,-71.4292873,,
Thermal,47,Lousiana Pacific II,-38.541761,-72.46993006,,
Thermal,45,Eagon,-38.53771816,-72.46082852,,
Thermal,44,CuracautÍ_n,-38.45282198,-71.81944106,,
Thermal,43,Chufken (TraiguÍ©n),-38.26240165,-72.6164875,,
Thermal,59,Contulmo,-38.03412712,-73.22334221,,
Thermal,129,Los Sauces II,-37.96584609,-72.82686701,,
Thermal,134,Angol (Los Sauces),-37.96584609,-72.82686701,,
Thermal,58,CaÍ±ete,-37.73083559,-73.38275025,,
Thermal,64,Los Alamos,-37.62572778,-73.41797773,,
Thermal,63,Lebu,-37.61537261,-73.66937276,,
Thermal,62,JCE,-37.53324532,-72.222849,,
Thermal,72,Trongol-Curanilahue,-37.49139775,-73.32083697,,
Thermal,61,Horcones TG,-37.21180094,-73.21674234,,
