gppd_id,name,id_2015-2016,id_2016-2017,id_2017-2018,latitude,longitude
IND0000001,AGARTALA GT,1,1,1,23.8712,91.3602
IND0000002,AKALTARA TPP,2,2,2,21.9603,82.4091
IND0000003,AKRIMOTA LIG,3,3,3,23.7689,68.6447
IND0000004,ALIYAR,4,4,4,10.4547,77.0078
IND0000005,ALLAIN DUHANGAN,5,5,5,32.2258,77.207
IND0000006,ALMATTI DAM,6,6,6,16.33,75.8863
IND0000007,AMAR KANTAK,7,7,7,23.1642,81.6373
IND0000008,AMARAVATI TPP,8,8,8,21.0782,77.9009
IND0000009,ANANDPUR SAHIB ST-I&II,9,9,9,31.2717,76.4938
IND0000010,"ANAPARA ""C""",10,10,10,24.2007,82.8
IND0000011,ANDHRA,11,11,11,31.241188,77.876929
IND0000012,ANOOPGARH ST I&II,12,12,12,,
IND0000013,ANPARA,13,13,13,24.201,82.7891
IND0000014,ANTA GT,14,14,14,25.1797,76.3188
IND0000015,ANUPUR TPP,15,15,15,23.065522,81.786542
IND0000016,AURAIYA GT,16,16,16,26.6282,79.5286
IND0000017,AVANTHA BHANDAR TPP,17,17,17,21.7438,83.2741
IND0000018,B. BRIDGE D.G,18,18,18,13.0977,80.2695
IND0000019,BADARPUR,19,19,19,28.506,77.3066
IND0000020,BAGLIHAR HEP,20,20,20,33.1815,75.3155
IND0000021,BAGLIHAR HEP-II,21,21,21,,
IND0000022,BAIRA SIUL,22,22,22,32.8063,76.1418
IND0000023,BAKRESWAR,23,23,23,23.8285,87.4513
IND0000024,BALIMELA,24,24,24,18.1396,82.1221
IND0000025,BALCO TPP,25,25,25,,
IND0000026,BANDAKHAR TPP,26,26,26,22.342055,82.43049
IND0000027,BANDEL,27,27,27,22.9956,88.4042
IND0000028,BANER,28,28,28,32.168615,76.469539
IND0000029,BANSAGAR (I),29,29,29,24.1917,81.2875
IND0000030,BANSAGAR (II),30,30,30,24.1917,81.2875
IND0000031,BANSAGAR (III),31,31,31,24.1917,81.2875
IND0000032,BANSAGAR (IV),32,32,32,24.222983,81.274718
IND0000033,BARADARHA TPP,33,33,33,21.9114,83.1889
IND0000034,BARAMURA,34,34,34,23.807,91.565
IND0000035,BARAUNI,35,35,35,25.3999,86.0218
IND0000036,BARGI,36,36,36,22.9417,79.925
IND0000037,BARH STPP II,37,37,37,25.4865,85.74516
IND0000038,BARKHERA TPP,38,38,38,28.4723,79.8066
IND0000039,BARSINGAR LIGNITE,39,39,39,27.8453,73.2
IND0000040,BASIN BRIDGE GT,40,40,40,13.1021,80.2682
IND0000041,BASPA,41,41,41,31.4306,78.241
IND0000042,BASSI,42,42,42,31.9546,76.7986
IND0000043,BELGAUM DG,43,43,43,15.900129,74.543317
IND0000044,BELLARY DG,44,44,44,,
IND0000045,BELLARY TPS,45,45,45,15.1932,76.7195
IND0000046,BHADRA,46,46,46,13.700824,75.637288
IND0000047,BHAKRA,47,47,47,31.4107,76.4328
IND0000048,BHANDARDHARA,48,48,48,19.5555,73.8087
IND0000049,BHATGARH,49,49,49,18.101193,73.725168
IND0000050,BHATSA,50,50,50,19.513188,73.41728
IND0000514,BHAVNAGAR TPP,,51,51,21.583695,72.222227
IND0000051,BHAWANI KATTALAI BARRAGE,51,52,52,11.3842,77.7145
IND0000052,BHAWANI KATTALAI -II,52,53,53,11.331,77.758
IND0000053,BHAWANI KATTALAI -III,53,54,54,11.2428,77.8659
IND0000054,BHILAI TPP,54,55,55,21.184,81.4237
IND0000055,BHIRA,55,56,56,18.455,73.3907
IND0000056,BHIRA TAIL RACE,56,57,57,18.4426,73.3498
IND0000057,BHIVPURI,57,58,58,18.9368,73.4527
IND0000058,BHUSAWAL,58,59,59,21.0483,75.8425
IND0000059,BINA TPP,59,60,60,23.3172,78.1336
IND0000527,BINJKOTE,,,61,22.010298,83.205792
IND0000060,BINWA,60,61,62,32.112133,76.653672
IND0000061,BIRSINGHPUR,61,62,63,23.325602,81.033278
IND0000062,BOKARO A,62,63,64,23.678317,86.088801
IND0000063,BOKARO A ''EXP'',63,64,65,23.678317,86.088801
IND0000064,BOKARO B,64,65,66,23.785,85.88
IND0000065,BONGAIGAON,65,66,67,,
IND0000066,BONGAIGAON TPP,66,67,68,26.514526,90.528734
IND0000067,BRAMHAPURAM DG,67,68,69,9.9975,76.3744
IND0000068,BSES Kerala CCGT,68,69,70,10.074,76.3188
IND0000069,BUDGE BUDGE,69,70,71,22.4673,88.14
IND0000070,BUDHIL,70,71,72,32.4584,76.532
IND0000071,BUTIBORI TPP -II,71,72,73,20.9286,78.9333
IND0000072,CHAKABURA TPP,72,73,74,22.393183,82.55318
IND0000073,CHAMERA II,73,74,75,32.4734,76.2552
IND0000074,CHAMERA-I,74,75,76,32.5966,75.9857
IND0000075,CHAMERA-III,75,76,77,32.4733,76.44
IND0000076,CHANDRAPUR_Coal,76,77,78,20.0063,79.29
IND0000077,CHANDRAPUR_Oil,77,78,79,,
IND0000078,CHANDRAPURA,78,79,80,23.7376,86.1273
IND0000515,CHANJU-I,,80,81,32.736898,76.247697
IND0000079,CHEMBUKADAVU-II,79,81,82,11.464459,76.037582
IND0000080,CHENANI I to III,80,82,83,32.957777,75.170478
IND0000081,CHHABRA TPS,81,83,84,24.6217,77.0357
IND0000082,CHIBRO (YAMUNA),82,84,85,30.5559,77.7915
IND0000083,CHILLA,83,85,86,29.976,78.2203
IND0000084,CHUTAK,84,86,87,34.4903,76.1137
IND0000085,CHUZACHEN,85,87,88,27.2093,88.6659
IND0000086,DAE RAJASTHAN,86,88,89,24.8747,75.6189
IND0000087,D.P.L.,87,89,90,23.52115,87.30231
IND0000088,DADRI (NCTPP),88,90,91,28.603,77.6078
IND0000089,DADRI GT,89,91,92,28.5932,77.6101
IND0000090,DAMODARAM SANJEEVAIAH,90,92,93,14.3444,80.1264
IND0000091,DEHAR,91,93,94,31.4133,76.8686
IND0000092,DERANG,92,94,95,21.12378,84.984342
IND0000093,DGEN MEGA CCCP,93,95,96,21.6923,72.6215
IND0000094,DHAKRANI,94,96,97,30.4561,77.7368
IND0000095,DHALIPUR,95,97,98,30.4354,77.6821
IND0000096,DHANU,96,98,99,19.9545,72.7478
IND0000097,DHARIWAL INF TPP ,97,99,100,20.010193,79.203342
IND0000098,DHAULI GANGA ,98,100,101,29.8783,80.5727
IND0000099,DHOLPUR,99,101,102,26.7024,77.8492
IND0000100,DHUVARAN,100,102,103,,
IND0000101,DHUVARAN CCPP,101,103,104,22.2396,72.752
IND0000528,DIKCHU ,,,105,27.402826,88.524679
IND0000102,DIMBE,102,104,106,,
