country,fuel,generation_gwh_2014
Albania,Cogeneration,0
Albania,Nuclear,0
Albania,Coal,0
Albania,Petcoke,0
Albania,Other,0
Albania,Waste,0
Albania,Wind,0
Albania,Hydro,4724
Albania,Oil,0
Albania,Gas,0
Albania,Biomass,0
Albania,Wave_and_Tidal,0
Albania,Geothermal,0
Albania,Solar,0
Albania,Total,4724
Algeria,Cogeneration,0
Algeria,Nuclear,0
Algeria,Coal,0
Algeria,Petcoke,0
Algeria,Other,0
Algeria,Waste,0
Algeria,Wind,0
Algeria,Hydro,254
Algeria,Oil,1163
Algeria,Gas,62825
Algeria,Biomass,0
Algeria,Wave_and_Tidal,0
Algeria,Geothermal,0
Algeria,Solar,0
Algeria,Total,64242
Angola,Cogeneration,0
Angola,Nuclear,0
Angola,Coal,0
Angola,Petcoke,0
Angola,Other,0
Angola,Waste,0
Angola,Wind,0
Angola,Hydro,5041
Angola,Oil,4439
Angola,Gas,0
Angola,Biomass,0
Angola,Wave_and_Tidal,0
Angola,Geothermal,0
Angola,Solar,0
Angola,Total,9480
Argentina,Cogeneration,0
Argentina,Nuclear,5756
Argentina,Coal,4038
Argentina,Petcoke,0
Argentina,Other,0
Argentina,Waste,0
Argentina,Wind,730
Argentina,Hydro,41348
Argentina,Oil,19540
Argentina,Gas,67378
Argentina,Biomass,2780
Argentina,Wave_and_Tidal,0
Argentina,Geothermal,0
Argentina,Solar,16
Argentina,Total,141586
Armenia,Cogeneration,0
Armenia,Nuclear,2465
Armenia,Coal,0
Armenia,Petcoke,0
Armenia,Other,0
Armenia,Waste,0
Armenia,Wind,4
Armenia,Hydro,1992
Armenia,Oil,0
Armenia,Gas,3289
Armenia,Biomass,0
Armenia,Wave_and_Tidal,0
Armenia,Geothermal,0
Armenia,Solar,0
Armenia,Total,7750
Australia,Cogeneration,0
Australia,Nuclear,0
Australia,Coal,151849
Australia,Petcoke,0
Australia,Other,0
Australia,Waste,0
Australia,Wind,10252
Australia,Hydro,18421
Australia,Oil,5013
Australia,Gas,54394
Australia,Biomass,3511
Australia,Wave_and_Tidal,0
Australia,Geothermal,1
Australia,Solar,4858
Australia,Total,248299
Austria,Cogeneration,0
Austria,Nuclear,0
Austria,Coal,4912
Austria,Petcoke,0
Austria,Other,13
Austria,Waste,975
Austria,Wind,3846
Austria,Hydro,44828
Austria,Oil,609
Austria,Gas,5401
Austria,Biomass,4052
Austria,Wave_and_Tidal,0
Austria,Geothermal,0
Austria,Solar,785
Austria,Total,65421
Azerbaijan,Cogeneration,0
Azerbaijan,Nuclear,0
Azerbaijan,Coal,0
Azerbaijan,Petcoke,0
Azerbaijan,Other,0
Azerbaijan,Waste,174
Azerbaijan,Wind,2
Azerbaijan,Hydro,1300
Azerbaijan,Oil,39
Azerbaijan,Gas,23210
Azerbaijan,Biomass,0
Azerbaijan,Wave_and_Tidal,0
Azerbaijan,Geothermal,0
Azerbaijan,Solar,3
Azerbaijan,Total,24728
Bahrain,Cogeneration,0
Bahrain,Nuclear,0
Bahrain,Coal,0
Bahrain,Petcoke,0
Bahrain,Other,0
Bahrain,Waste,0
Bahrain,Wind,0
Bahrain,Hydro,0
Bahrain,Oil,7
Bahrain,Gas,27246
Bahrain,Biomass,0
Bahrain,Wave_and_Tidal,0
Bahrain,Geothermal,0
Bahrain,Solar,0
Bahrain,Total,27253
Bangladesh,Cogeneration,0
Bangladesh,Nuclear,0
Bangladesh,Coal,1100
Bangladesh,Petcoke,0
Bangladesh,Other,0
Bangladesh,Waste,0
Bangladesh,Wind,4
Bangladesh,Hydro,588
Bangladesh,Oil,8209
Bangladesh,Gas,45799
Bangladesh,Biomass,0
Bangladesh,Wave_and_Tidal,0
Bangladesh,Geothermal,0
Bangladesh,Solar,145
Bangladesh,Total,55845
Belarus,Cogeneration,0
Belarus,Nuclear,0
Belarus,Coal,26
Belarus,Petcoke,0
Belarus,Other,0
Belarus,Waste,37
Belarus,Wind,11
Belarus,Hydro,121
Belarus,Oil,379
Belarus,Gas,34042
Belarus,Biomass,118
Belarus,Wave_and_Tidal,0
Belarus,Geothermal,0
Belarus,Solar,1
Belarus,Total,34735
Belgium,Cogeneration,0
Belgium,Nuclear,33703
Belgium,Coal,4402
Belgium,Petcoke,0
Belgium,Other,399
Belgium,Waste,2083
Belgium,Wind,4614
Belgium,Hydro,1507
Belgium,Oil,217
Belgium,Gas,19292
Belgium,Biomass,3588
Belgium,Wave_and_Tidal,0
Belgium,Geothermal,0
Belgium,Solar,2883
Belgium,Total,72688
Benin,Cogeneration,0
Benin,Nuclear,0
Benin,Coal,0
Benin,Petcoke,0
Benin,Other,0
Benin,Waste,0
Benin,Wind,0
Benin,Hydro,0
