primary name,Other Possible Names,Other Possible Names,Other Possible Names,Other Possible Names,Other Possible Names,,,,,,,
name,Station Name,Plant,Plant Name,Power Station,Central,Generation plant,Name of Plant,PERMISIONARIO (Permit),,,,
fuel,Fuel Type,Type,ENERGETICO PRIMARIO (Fuel),Reported Fuel Type Code,Plant Type,,,,,,,
capacity,Capacity (MW),Installed Capacity (MW),Installed Capacity,Total Capacity,Generational Capacity,Generational Capacity (MW),Total Capacity (MW),Generation Capacity (MW),Technical Nominal Power (MW),Power (kW),CAP. AUTORIZADA (capacity authorized)(MW),Power (MW)
type,Plant Type,Combustion,Combustion Type,Prime Mover,Reactor Type,,,,,,,
units,Unit,Unit (MW),Unit Info,,,,,,,,,
latitude,,,,,,,,,,,,
longitude,,,,,,,,,,,,
location,Address,Nearest City,,,,,,,,,,
owner,Company,Company Name,Operator,Ownership,,,,,,,,
age,Year,Startup Date,,,,,,,,,,
URL,Link,Link 1,Link?,,,,,,,,,
source,Source(s),,,,,,,,,,,
source 2,Link 2,,,,,,,,,,,
source 3,Link 3,,,,,,,,,,,
load factor,Load Factor %,,,,,,,,,,,
operation factor,Operation Factor (for plant's life time),,,,,,,,,,,
heat rate,,,,,,,,,,,,
efficiency,Thermal Efficiency,,,,,,,,,,,
other,,,,,,,,,,,,
fuel consumption (gm/KWh),,,,,,,,,,,,
availability,Availability %,,,,,,,,,,,
ramp rate,,,,,,,,,,,,
secondary fuel,,,,,,,,,,,,
country,,,,,,,,,,,,
cooling type,,,,,,,,,,,,
cooling source,,,,,,,,,,,,
status,,,,,,,,,,,,
generation,Annual Generation (GWh),,,,,,,,,,,
idnr,PowerWatch ID,,,,,,,,,,,
municipality,,,,,,,,,,,,
