country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
AUS,Australia,Adelaide Airport,AUS0000433,0.11,-34.9387,138.5377,Solar,,,,,Adelaide Airport Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Adelaide Showgrounds,AUS0000432,1.0,-34.9453,138.5882,Solar,,,,,Adelaide Showgrounds,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Albany Wind Farm,AUS0000065,21.6,-35.0641,117.7977,Wind,,,,,Verve Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Alice Springs Airport,AUS0000469,0.24,-23.7966,133.8971,Solar,,,,,Alice Springs Airport,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2014,,,,,
AUS,Australia,Amcor Gawler,AUS0000231,4.0,-34.5509,138.7659,Oil,,,,,Energy Response,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Angaston,AUS0000232,50.0,-34.5035,139.0245,Oil,,,,,Infratil Energy Australia Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Anglesea,AUS0000114,150.0,-38.3861,144.1828,Coal,,,,,Alcoa of Australia Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Appin (Mine),AUS0000264,59.7,-34.2082,150.7722,Gas,,,,,Energy Developments CSM (NSW) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Ardyaloon,AUS0000379,0.8,-16.4444,123.0414,Oil,,,,,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Argyle Diamond Mine,AUS0000220,32.0,-16.7162,128.4031,Oil,,,,,Rio Tinto - Argyle Diamond Mines,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
