NOTE: The Global Power Plant Database is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,geolocation_source,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
13th Side Road,CAN0007595,9.5,2013,Canada,Skypower Ltd / Sunedison,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,42.8550,-80.3607,Natural Resources Canada,,Solar,,,,,,,,
Aberfeldie,CAN0007597,24.0,2017,Canada,BC Hydro,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,49.4933,-115.3624,Natural Resources Canada,,Hydro,,,,,,,,
Abitibi Canyon,CAN0002096,349.0,2017,Canada,,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,49.8822,-81.5670,Natural Resources Canada,,Hydro,,,,,,,,
Abénaquis,CAN0007596,2.1,2017,Canada,Ville de Sherbrooke /Hydro Sherbrooke,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,45.4052,-71.8932,Natural Resources Canada,,Hydro,,,,,,,,
Adam-Cunningham,CAN0007599,7.0,2017,Canada,Hydro Saguenay,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,48.6581,-71.1708,Natural Resources Canada,,Hydro,,,,,,,,
Adelaide,CAN0007600,59.9,2016,Canada,Kerwood Wind  LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,42.9877,-81.7068,Natural Resources Canada,,Wind,,,,,,,,
Adelaide (Suncor),CAN0007601,40.0,2016,Canada,Suncor Adelaide Wind LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,43.0184,-81.7392,Natural Resources Canada,,Wind,,,,,,,,
Adelaide 1,CAN0007602,10.0,2017,Canada,Met Fiera Solar Adelaide 1 LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,42.9585,-81.6708,Natural Resources Canada,,Solar,,,,,,,,
Aeolus,CAN0007603,3.0,2016,Canada,PEI Energy Corp,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,47.0368,-64.0051,Natural Resources Canada,,Wind,,,,,,,,
Aguasabon,CAN0007604,45.0,2017,Canada,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,48.7867,-87.1610,Natural Resources Canada,,Hydro,,,,,,,,
Aishihik,CAN0007605,37.0,2016,Canada,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,61.0351,-137.0509,Natural Resources Canada,,Hydro,,,,,,,,
Akolkolex,CAN0007606,10.0,2017,Canada,TransAlta (100%),Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,50.8227,-118.0295,Natural Resources Canada,,Hydro,,,,,,,,
AlPac Boyle,CAN0002097,125.0,2017,Canada,APF Athabasca,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,54.9210,-112.8622,Natural Resources Canada,,Biomass,,,,,,,,
Alderville 3,CAN0007607,5.0,2017,Canada,Alderville Solar LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,44.1939,-78.0946,Natural Resources Canada,,Solar,,,,,,,,
Alexander,CAN0007608,69.0,2017,Canada,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,49.1355,-88.3580,Natural Resources Canada,,Hydro,,,,,,,,
Alfred,CAN0007609,10.0,2017,Canada,2225228 Ontario Inc,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,45.5400,-74.8878,Natural Resources Canada,,Solar,,,,,,,,
Algoma Cogeneration,CAN1060003,63.0,,Canada,Essar Steel Algoma,Canadian Power Plant Database,http://www.cbc.ca/news2/interactives/database-cdnpowerplants/?appSession=37157089528396396394056638291117802843348425060575648208153793135366829336033758248443548607051384464831349653596564231536607108,49.5244,-84.3712,WRI,2009.0,Gas,,,,,,,,
Almonte,CAN0007610,5.0,2014,Canada,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,45.2258,-76.1981,Natural Resources Canada,,Hydro,,,,,,,,
Amherst Community Wind Farm,CAN0008573,6.0,2016,Canada,Natural Forces,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,45.8300,-64.1440,Natural Resources Canada,,Wind,,,,,,,,
Amherst I,CAN0007612,31.5,2016,Canada,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,45.8267,-64.2417,Natural Resources Canada,,Wind,,,,,,,,
Amherstburg Solar,CAN0007613,10.0,2013,Canada,Ge Energy Financial (90%) / Fiera Axium Infrastructure (10%),Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,42.1449,-83.0769,Natural Resources Canada,,Solar,,,,,,,,
Amherstburg-1,CAN0007614,20.0,2016,Canada,Capstone Infrastructure Corp,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,42.1637,-83.0807,Natural Resources Canada,,Solar,,,,,,,,
Amherstburg-2,CAN0007615,15.0,2016,Canada,Enbridge,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,42.1690,-83.0876,Natural Resources Canada,,Solar,,,,,,,,
