NOTE: The Global Power Plant Database is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,geolocation_source,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
ARUBA REFINERY,CARMA0002172,,,ABW,,CARMA,http://carma.org/,12.4333,-69.9000,CARMA,,,,,,,,
BALASHI,CARMA0002985,,,ABW,,CARMA,http://carma.org/,12.4833,-69.9667,CARMA,,,,,,,,
ASSADABAD,CARMA0002356,,,AFG,,CARMA,http://carma.org/,34.8731,71.1470,CARMA,,,,,,,,
BABA-WALI,CARMA0054319,,,AFG,,CARMA,http://carma.org/,31.6093,64.9773,CARMA,,,,,,,,
BAGHDIS,CARMA0002845,,,AFG,,CARMA,http://carma.org/,34.9874,63.1289,CARMA,,,,,,,,
BAHARAK,CARMA0002870,,,AFG,,CARMA,http://carma.org/,36.9833,70.8833,CARMA,,,,,,,,
BAMYAN,CARMA0003094,,,AFG,,CARMA,http://carma.org/,34.8242,67.8217,CARMA,,,,,,,,
CHAKHCHRAN,CARMA0007797,,,AFG,,CARMA,http://carma.org/,34.5195,65.2509,CARMA,,,,,,,,
CHAKI-VARDACK,CARMA0007798,,,AFG,,CARMA,http://carma.org/,34.1077,68.5787,CARMA,,,,,,,,
CHALWARCHA,CARMA0007825,,,AFG,,CARMA,http://carma.org/,34.3016,62.2465,CARMA,,,,,,,,
CHARIKAR,CARMA0007980,,,AFG,,CARMA,http://carma.org/,35.0136,69.1714,CARMA,,,,,,,,
DARUNTA,CARMA0010265,,,AFG,,CARMA,http://carma.org/,34.4265,70.4515,CARMA,,,,,,,,
FAIZABAD,CARMA0013058,,,AFG,,CARMA,http://carma.org/,37.1166,70.5800,CARMA,,,,,,,,
GARDEZ,CARMA0063533,,,AFG,,CARMA,http://carma.org/,33.5974,69.2259,CARMA,,,,,,,,
GHAZNI,CARMA0015037,,,AFG,,CARMA,http://carma.org/,33.5536,68.4269,CARMA,,,,,,,,
GHORBAND,CARMA0015049,,,AFG,,CARMA,http://carma.org/,34.9864,68.7083,CARMA,,,,,,,,
HERAT,CARMA0017515,,,AFG,,CARMA,http://carma.org/,34.3482,62.1997,CARMA,,,,,,,,
ISTALIF,CARMA0019707,,,AFG,,CARMA,http://carma.org/,34.8327,69.0776,CARMA,,,,,,,,
KABUL,CARMA0020715,,,AFG,,CARMA,http://carma.org/,34.5281,69.1723,CARMA,,,,,,,,
KABUL NORTHWEST,CARMA0020716,,,AFG,,CARMA,http://carma.org/,34.5736,69.1350,CARMA,,,,,,,,
KABUL UNICEF,CARMA0057652,,,AFG,,CARMA,http://carma.org/,34.5281,69.1723,CARMA,,,,,,,,
KABUL WHO,CARMA0057653,,,AFG,,CARMA,http://carma.org/,34.5281,69.1723,CARMA,,,,,,,,
KAJAKI,CARMA0020836,,,AFG,,CARMA,http://carma.org/,32.7579,64.5483,CARMA,,,,,,,,
KANDAHAR,CARMA0021101,,,AFG,,CARMA,http://carma.org/,31.6133,65.7101,CARMA,,,,,,,,
KANDAHAR AIRFIELD,CARMA0057651,,,AFG,,CARMA,http://carma.org/,31.6133,65.7101,CARMA,,,,,,,,
KHOJA GOGIRDAK FIELD,CARMA0022003,,,AFG,,CARMA,http://carma.org/,36.6613,65.9345,CARMA,,,,,,,,
KHULM,CARMA0057690,,,AFG,,CARMA,http://carma.org/,36.6974,67.6983,CARMA,,,,,,,,
KMTC CENTRAL PLANT,CARMA0057654,,,AFG,,CARMA,http://carma.org/,34.5281,69.1723,CARMA,,,,,,,,
KODE BARQ FACTORY,CARMA0027689,,,AFG,,CARMA,http://carma.org/,36.7090,67.1109,CARMA,,,,,,,,
LASHKAR-GAH,CARMA0024586,,,AFG,,CARMA,http://carma.org/,31.5938,64.3716,CARMA,,,,,,,,
MAHIPAR,CARMA0026628,,,AFG,,CARMA,http://carma.org/,34.6500,69.7000,CARMA,,,,,,,,
