idval,latitude,longitude,pw_country,google_country,diagnosis,action taken,note
ARG0000136,-27.482709,-56.739664,Argentina,Paraguay,Bi-national dam,None,
WRI1005164,48.29921141,13.15029144,Austria,Germany,Bi-national dam,None,
WRI1005221,48.5712,13.449,Austria,Germany,Bi-national dam,None,
WRI1005188,48.5184,13.7076,Austria,Germany,Bi-national dam,None,
BRA0034375,-10.9428,-69.5747,Brazil,Peru,Bi-national dam,None,
WRI1060850,43.1456,-79.0436,Canada,United States,Bi-national dam,None,
WRI1000514,40.9,125.97,China,North Korea,Bi-national dam,None,
WRI1000496,40.46,124.97,China,North Korea,Bi-national dam,None,
WRI1000514,40.9,125.97,China,North Korea,Bi-national dam,None,
WRI1005913,47.56990573,7.810113464,Germany,Switzerland,Bi-national dam,None,
WRI1006029,47.585377,7.832657,Germany,Switzerland,Bi-national dam,None,
WRI1005931,47.5559,8.0494,Germany,Switzerland,Bi-national dam,None,
WRI1006039,48.4356,13.4415,Germany,Austria,Bi-national dam,None,
WRI1005986,47.6413,12.199,Germany,Austria,Bi-national dam,None,
WRI1006007,49.9523,6.1783,Germany,Luxembourg,Bi-national dam,None,
MEX0006580,26.558369,-99.1694,Mexico,United States,Bi-national dam,None,
WRI1023133,-17.38609,14.21374,Namibia,Angola,Bi-national dam,None,
WRI1019843,41.3814,126.5149,North Korea,China,Bi-national dam,None,
WRI1022983,-25.4081,-54.5889,Paraguay,Brazil,Bi-national dam,None,
WRI1020284,44.30646,22.5667,Serbia,Romania,Bi-national dam,None,
WRI1020282,43.9645,19.4102,Serbia,Bosnia and Herzegovina,Bi-national dam,None,
WRI1020281,43.9645,19.4102,Serbia,Bosnia and Herzegovina,Bi-national dam,None,
WRI1006178,41.2117,-6.6856,Spain,Portugal,Bi-national dam,None,
WRI1004032,47.5908,8.1295,Switzerland,Germany,Bi-national dam,None,
WRI1004033,47.5908,8.1295,Switzerland,Germany,Bi-national dam,None,
USA0006128,29.449827,-101.06011,United States of America,Mexico,Bi-national dam,None,
USA0058146,47.36,-68.3286,United States of America,Canada,Bi-national dam,None,
USA0001751,46.5162,-84.3729,United States of America,Canada,Bi-national dam,None,
USA0010487,48.6081,-93.4043,United States of America,Canada,Bi-national dam,None,
WRI1000153,40.1924,69.3048,Uzbekistan,Tajikistan,Bi-national dam,None,
WRI1022380,-17.9166667,25.85,Zambia,Zimbabwe,Bi-national dam,None,
GEODB0003803,-16.5222,28.7619,Zimbabwe,Zambia,Bi-national dam,None,
WRI1023307,41.876,-7.836356,Portugal,Spain,Bi-national wind farm,None,
WRI1023379,41.8436,-7.3374,Portugal,Spain,Bi-national wind farm,None,
WRI1005474,53.558866,6.640649,Netherlands,Germany,CARMA inaccuracy,Hard-coded lat/long in fusion table,
WRI1029810,49.4826,17.13449,Czech Republic,unknown,Correct,None,
WRI1001387,32.440394,75.73047638,India,unknown,Correct,None,
IND0000370,33.142,74.8097,India,unknown,Correct - disputed,None,
WRI1001078,33.18151,75.31546,India,unknown,Correct - disputed,None,
WRI1001385,27.3426,93.8168,India,unknown,Correct - disputed,None,
WRI1001491,34.19799895,75.12447166,India,unknown,Correct - disputed,None,
WRI1001493,34.0921,74.03182,India,unknown,Correct - disputed,None,
WRI1023705,27.0182,-13.3838,Morocco,unknown,Correct - disputed,None,
