Plant	Latitude	Longitude	ID	Capacity (MW)	WRI ID
Greenhouse Gas Emission Reductions Through Thermal Solar Power Technology - Rajasthan Sun Technique Energy Pvt. Ltd	26.78777	72.00939	CDMDB0009293	125	1020240
Greenhouse Gas Emission Reductions Through Photovoltaic Technology - Dahanu Solar Power Pvt. Ltd.	26.8036	72.0071	CDMDB0007103	100	
50 MW Solar Photo Voltaic Plant at Rajgarh (MP)	23.9626	76.7223	CDMDB0010270	50	
Solar Thermal Power Plant by Godawari Green Energy Limited	27.60361	72.23589	CDMDB0007379	50	
Adani Enterprises Limited Solar PV Power Project in Gujarat  India	23.2628	69.0242	CDMDB0005928	40	
Grid Connected Solar PV Project by M/s. Giriraj Enterprises in Rajasthan	27.437	72.322	CDMDB0010150	33	
Solar PV Power Plants by PESPL and SEPL			CDMDB0008608	30	
25 MW Solar PV Project in Gujarat	23.4701	71.5851	CDMDB0006151	25	
Grid Interactive Solar Photovoltaic Power Project in Gujarat	22.727	71.433	CDMDB0007249	25	
Grid connected 25 MW P V solar power project at Charanka in Gujarat	23.91759	71.21479	CDMDB0007128	25	
Mithapur Solar Power Project	22.4092	68.9932	CDMDB0007373	25	
Solar PV power project at Patan  India	23.90583	71.19778	CDMDB0007036	25	
Solar PV power project by Roha Dyechem Pvt. Ltd. (EKIESL.CDM.Aug-11-02)	23.9	71.2	CDMDB0007442	25	
Solar Thermal Power project at Kutcch District in Gujarat	22.3799	70.7083	CDMDB0009224	25	
Solar Power project in Rajasthan	27.47522	72.30837	CDMDB0009602	23	
Grid Connected Solar Photovoltaic project by M/s Solar Semiconductor Power Company (India) Private Limited in the State of Gujarat  India	23.32444	70.40028	CDMDB0010177	20	
Kiran Energy Solar PV Project	23.839	71.1984	CDMDB0007347	20	
Solar Power Project by SunBorne Energy Gujarat One Private Limited	23.374	70.3117	CDMDB0006603	15.401	
15 MW Solar Photovoltaic Power Plant in Gujarat	23.3601	70.0541	CDMDB0006231	15	
15 MW Solar Photovoltaic Power Project at Gujarat	22.32	72.43	CDMDB0008671	15	
15 MW Solar Power Project in Gujarat	23.9099	71.2108	CDMDB0008496	15	
Bundled Solar Photovoltic Power project at Chadiyana  Patan District in Gujarat			CDMDB0008689	15	
Solar PV Power Project by DMPL in Fatepur  Gujarat			CDMDB0009067	15	
Solar PV Power Project by MMPL in Fatepur  Gujarat			CDMDB0009078	15	
Solar Photovoltic Power project at Charanka  Patan District in Gujarat	23.90562	71.19841	CDMDB0009709	15	
Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited	23.91667	71.2	CDMDB0009455	15	
Bundled Solar Energy Project in Madhya Pradesh by EnvironmentFirst  India			CDMDB0010242	14.5	
Renewable Energy Project by Pramatha Power Pvt. Ltd. Goa (EKIESL- CDM. April 16-04)			CDMDB0010361	14	
Grid Connected Solar PV Project by M/s. D. J. Malpani in Rajasthan	27.47194	72.29	CDMDB0009871	13	
Solar Power Project by Fortum FinnSurya (EKIESL-CDM.February-15-01)	23.5	76.35	CDMDB0010288	12	
Grid connected solar PV project by VIL and CPPL			CDMDB0009356	11.44	
10 MW Solar PV Power Project by Azure Power	22.8774	72.0703	CDMDB0006512	10	
10 MW Solar Photovoltaic Power Plant in Rajkot  Gujarat (India)	21.73643	70.11978	CDMDB0008917	10	
10 MW solar power project by NKG Infrastructure Limited	23.90562	71.19841	CDMDB0007188	10	
10 MWp Grid Interactive Solar Power Project in Gujarat Solar Park  India	23.9027	71.1977	CDMDB0007791	10	
10MW Solar Power Project (EnvironmentFirst-213)			CDMDB0010238	10	
GHG abatement through solar power generation in Bikaner  Rajasthan  India			CDMDB0009321	10	
Grid Connected Solar Photovoltaic Power Project by M/s. Mono Steel (India) Ltd. in Gujarat	20.81905	71.00877	CDMDB0008151	10	
Grid Connected Solar Power Project in Gujarat by GHI Energy Private Limited	21.95677	71.32887	CDMDB0007722	10	
Grid connected solar PV based power generation at Rajasthan by Lexicon Vanijya Pvt. Ltd			CDMDB0009605	10	
Grid connected solar PV based power generation at Rajasthan by Symphony Vyapaar Pvt Ltd			CDMDB0009604	10	
Grid connected solar photovoltaic power plant in Bikaner  Rajasthan  India	27.86389	72.83889	CDMDB0009185	10	
Solar Photovoltaic based Power Plant  India 2	23.5	71.7	CDMDB0008528	10	
Solar Power Project by Hero Group (EKIESL-CDM.May-15-01)	14.907	76.81	CDMDB0010315	10	
Solar Power Project by Rishabh Renergy (EKIESL-CDM.May-15-02)	28.022	73.068	CDMDB0010321	10	
Solar Power Project in Gujarat  India by Waa Solar Private Limited	22.70842	71.41857	CDMDB0006352	10	
Solar power project in Gujarat  India	20.87611	71.2825	CDMDB0007951	10	
Solar PV Power Project in Kutch District of Gujarat	23.377	70.7462	CDMDB0006653	9	
Solar Photovoltaic Power Project at Jalgaon  Maharashtra	20.92898	75.56314	CDMDB0008464	8.5	
Bundled Solar Power Project by EKI Energy Services Limited (EKIESL-CDM.June-13-02)			CDMDB0010071	8.4	
