Plant,Latitude,Longitude,ID,Capacity (MW),,,,,,,,,
Dhursar,26.7846,72.00827,1020240,125,,,,,,,,,
Gujurat Solar On,,,1020243,28,,,,,,,,,
Godawari,27.6003,72.22409,1020242,50,,,,,,,,,
Megha Solar Plant,,,1020245,50,,,,,,,,,
Wadgam Solar Power Plant,22.3172,72.43974,1026220,15,,,,,,,,,
Khilchipur Solar Power Plant,24.0682,76.58904,1026161,25,,,,,,,,,
Bitta Solar Power Plant,23.2579,69.02545,1026125,40,,,,,,,,,
Kamuthi Solar Power Plant,9.33812,78.39171,1026151,648,,,,,,,,,
Bamanwali Solar Power Plant,28.3683,73.5286,1026114,1,,,,,,,,,
Sadeipali - ASPL Solar Power Plant,20.731,83.45379,1026200,5,,,,,,,,,
Bamani Solar Power Plant,18.0791,76.18069,1026113,1,,,,,,,,,
Gulabpura Solar Power Plant,25.86,74.65671,1026144,5,,,,,,,,,
Dhank - Aravali Solar Power Plant,21.7766,70.0773,1026135,5,,,,,,,,,
Raksa Solar Power Plant,25.4106,78.48054,1026190,2,,,,,,,,,
Kathauti 1 Solar Power Plant,27.224,74.25236,1026153,5,,,,,,,,,
Kathauti 2 Solar Power Plant,27.2089,74.25525,1026154,40,,,,,,,,,
Shivlakha - Backbone Solar Power Plant,23.3585,70.6206,1026208,5,,,,,,,,,
Bap - OPG Solar Power Plant,27.3525,72.35535,1026117,5,,,,,,,,,
Lakhmirwala Solar Power Plant,29.8509,75.40234,1026167,20,,,,,,,,,
Bhatkota Solar Power Plant,23.5594,73.28597,1026124,3,,,,,,,,,
Supe Solar Power Plant,18.3198,74.3686,1026214,2,,,,,,,,,
Pratapgarh Solar Power Plant,23.3682,70.7432,1026185,9,,,,,,,,,
Naini Solar Power Plant,25.3723,81.87169,1026176,5.8,,,,,,,,,
Horti Solar Power Plant,17.9054,76.32241,1026146,20,,,,,,,,,
Dhanera Solar Power Plant,24.5216,72.19988,1026134,25,,,,,,,,,
Khandala Solar Power Plant,18.6051,75.03806,1026158,5.2,,,,,,,,,
Vastan Solar Power Plant,21.4239,73.12726,1026219,5,,,,,,,,,
Khadoda Solar Power Plant,23.443,73.20137,1026157,10,,,,,,,,,
Isanpur Solar Power Plant,22.4809,72.52354,1026147,1,,,,,,,,,
Nokh - GGEL Solar Power Plant,27.6007,72.22417,1026177,50,,,,,,,,,
Bapodar - Hiraco Solar Power Plant,21.5967,69.84302,1026119,20,,,,,,,,,
Ravra - IOC Solar Power Plant,27.4108,72.21638,1026195,5,,,,,,,,,
Khirwa Solar Power Plant,27.301,72.32359,1026164,1,,,,,,,,,
Shirsoli Solar Power Plant,17.4999,75.78101,1026206,8.5,,,,,,,,,
Itnal Solar Power Plant,16.4018,74.66407,1026148,3,,,,,,,,,
Shivasamundra Solar Power Plant,12.3003,77.16378,1026207,5,,,,,,,,,
Yelesandra Solar Power Plant,12.8932,78.16537,1026222,3,,,,,,,,,
Shivlakha - Konark Solar Power Plant,23.3654,70.62675,1026210,5,,,,,,,,,
Lathi Solar Power Plant,27.0321,71.53222,1026169,1,,,,,,,,,
Bhadrada Solar Power Plant,23.6688,71.57823,1026123,5,,,,,,,,,
Sangatpura Solar Power Plant,29.9611,75.77669,1026204,10,,,,,,,,,
Askandra - DREPL Solar Power Plant,27.3473,71.69171,1026106,5,,,,,,,,,
Askandra - Electromech Maritech Solar Power Plant,27.36,71.69177,1026107,5,,,,,,,,,
Askandra - Finehope Solar Power Plant,27.3632,71.69177,1026108,5,,,,,,,,,
Askandra - Khaya Solar Power Plant,27.3661,71.69161,1026109,5,,,,,,,,,
Askandra - Newton Solar Power Plant,27.3537,71.69173,1026110,5,,,,,,,,,
Askandra - Saidham Solar Power Plant,27.3504,71.69177,1026111,5,,,,,,,,,
Askandra - Vasavi Solar Power Plant,27.3566,71.69174,1026112,5,,,,,,,,,
Bavadi Barsingha - LEPL Solar Power Plant,27.4523,72.33881,1026122,10,,,,,,,,,
Bavadi Barsingha - Giriraj Solar Power Plant,27.4387,72.32453,1026121,36.3,,,,,,,,,
Boha Solar Power Plant,29.8504,75.48998,1026126,4.2,,,,,,,,,
Chandrapur Solar Power Plant,20.0209,79.27125,1026128,5,,,,,,,,,
Sakri 1A Solar Power Plant,21.0726,74.38623,1026202,100,,,,,,,,,
Sakri 1B Solar Power Plant,21.0864,74.3529,1026203,25,,,,,,,,,
Mandrup - Giriraj Solar Power Plant,17.4999,75.78101,1026170,6.6,,,,,,,,,
Ananthapur - Meil Solar Power Plant,14.9455,77.68702,1026105,50,,,,,,,,,
Godelai Solar Power Plant,26.6532,72.53768,1026141,1,,,,,,,,,
Nokha Daiya Solar Power Plant,28.1371,72.9661,1026179,5,,,,,,,,,
Gwal Pahari Solar Power Plant,28.4272,77.15958,1026145,3,,,,,,,,,
Shiloj Solar Power Plant,20.8183,71.00629,1026205,10,,,,,,,,,
Sivaganga Solar Power Plant,9.80433,78.44869,1026212,5,,,,,,,,,
Solitaire Solar Power Plant,23.9116,71.9324,1026213,15,,,,,,,,,
Tinwari - MB Solar Power Plant,26.5182,72.85356,1026218,5,,,,,,,,,
Bapodar - MBEDL Solar Power Plant,21.6024,69.84415,1026120,15,,,,,,,,,
Rajgarh - NTPC Solar Power Plant,23.9637,76.71905,1026188,50,,,,,,,,,
Ramagundam Solar Power Plant,18.764,79.48725,1026192,10,,,,,,,,,
Singrauli Solar Power Plant,24.1185,82.64155,1026211,15,,,,,,,,,
Talcher Kaniha Solar Power Plant,21.0866,85.09872,1026215,10,,,,,,,,,
Dadri Solar Power Plant,28.5787,77.63143,1026131,5,,,,,,,,,
Garacharma Solar Power Plant,11.6117,92.71089,1026140,5,,,,,,,,,
Amarsar Solar Power Plant,28.3615,74.24017,1026104,1,,,,,,,,,
Abhijeet,,,1020238,50,,,,,,,,,
Diwakar,27.7355,71.69174,1020241,100,,,,,,,,,
KVK Energy Solar Project,,,1020244,100,,,,,,,,,
ACME Solar Tower,28.1839,73.24068,1020239,2.5,,,,,,,,,
Chingerbandh Solar Power Plant,20.6729,83.11067,1026130,5,,,,,,,,,
Gandhinagar Solar Power Plant,23.1534,72.66903,1026139,1,,,,,,,,,
Lallian Kalan Solar Power Plant,31.2496,75.48257,1026168,1,,,,,,,,,
Mirpur Kalan - Alianz Eco Solar Power Plant,29.7303,75.30986,1026171,2.1,,,,,,,,,
Mirpur Kalan - Nexgen Solux Solar Power Plant,29.7311,75.30795,1026172,1,,,,,,,,,
Bonada Solar Power Plant,26.5249,71.52125,1026127,1,,,,,,,,,
Lakhewali Solar Power Plant,30.4368,74.33159,1026166,2.1,,,,,,,,,
Nokh - Precision Technik Solar Power Plant,27.5728,72.20598,1026178,5,,,,,,,,,
Bap - Punj Lloyd Solar Power Plant,27.3851,72.30424,1026118,5,,,,,,,,,
Sadeipali - REHPL Solar Power Plant,20.7325,83.46322,1026201,1,,,,,,,,,
Gondri Solar Power Plant,18.3055,76.6551,1026142,5,,,,,,,,,
Patodi Solar Power Plant,26.0748,72.26765,1026181,1,,,,,,,,,
Phagi Solar Power Plant,26.5653,75.56222,1026182,1,,,,,,,,,
Rasulpur Solar Power Plant,27.9363,75.67903,1026194,1,,,,,,,,,
Katol - Citra Solar Power Plant,21.317,78.60245,1026155,2,,,,,,,,,
Pokhran FVE Solar Power Plant,26.8022,72.00776,1026183,40,,,,,,,,,
Pokhran THE Solar Power Plant,26.7874,72.00985,1026184,100,,,,,,,,,
Shivlakha - CPEC Solar Power Plant,23.383,70.61457,1026209,5,,,,,,,,,
Komal West Solar Power Plant,11.0118,79.58981,1026165,1,,,,,,,,,
Precious Solar Power Plant,23.9151,71.9424,1026186,15.2,,,,,,,,,
Ravra - SEI Solar Power Plant,27.4092,72.21933,1026197,5,,,,,,,,,
Bap - GIS 1-2 Solar Power Plant,27.3827,72.31885,1026115,15,,,,,,,,,
Bap - GIS 3 Solar Power Plant,27.3893,72.31338,1026116,10,,,,,,,,,
Katol - Sepset Solar Power Plant,21.3174,78.60013,1026156,2,,,,,,,,,
Grewal Solar Power Plant,30.4613,74.61884,1026143,1.8,,,,,,,,,
Khetusar - Northern Solar Power Plant,27.3225,71.99508,1026159,20,,,,,,,,,
Khetusar - Suryauday Solar Power Plant,27.3247,71.99102,1026160,10,,,,,,,,,
Muradwala Dal Singh Solar Power Plant,29.7303,75.30986,1026175,21,,,,,,,,,
Deh Solar Power Plant,27.9253,72.88994,1026132,2,,,,,,,,,
Charanka Solar Power Plant,23.90701,71.18813,1026129,221,,,,,,,,,
Dugar Solar Power Plant,26.2776,72.65098,1026136,1,,,,,,,,,
Ravra - NWEPL Solar Power Plant,27.4118,72.21273,1026196,5,,,,,,,,,
Gadna 1 Solar Power Plant,27.4269,72.3896,1026137,3,,,,,,,,,
Gadna 2 Solar Power Plant,27.4296,72.39693,1026138,5,,,,,,,,,
Karmaria Solar Power Plant,23.35,70.38798,1026152,15,,,,,,,,,
Jafrabad Solar Power Plant,20.8772,71.28005,1026149,15,,,,,,,,,
Tata BP - Electronics City Solar Panel Plant,12.8491,77.67524,1026216,0,,,,,,,,,
Mithapur Solar Power Plant,22.4077,68.99251,1026173,17,,,,,,,,,
Mulshi Solar Power Plant,18.4921,73.50806,1026174,3,,,,,,,,,
Rapar Khokhara Solar Power Plant,23.2592,70.00966,1026193,5,,,,,,,,,
Dhabla Sondhya Solar Power Plant,23.8267,75.89875,1026133,28.2,,,,,,,,,
Rajgarh - Ujaas Solar Power Plant,23.9796,76.73292,1026189,16.5,,,,,,,,,
Rojhani Solar Power Plant,23.7025,75.92456,1026199,30.5,,,,,,,,,
Khirsara - Unity Solar Power Plant,23.3578,70.05477,1026162,5,,,,,,,,,
Khirsara - Welspun Solar Power Plant,23.3618,70.05355,1026163,15,,,,,,,,,
Punjawa - Sikh Wala Solar Power Plant,30.0208,74.54598,1026187,19,,,,,,,,,
Warora Solar Power Plant,20.301,79.02373,1026221,25,,,,,,,,,
